7046	792
7048	578
4088	882
7040	1172
4087	1624
7043	549
4089	1110
7042	664
130399	89
4092	315
90	477
94	185
91	345
658	247
657	589
93	274
4091	342
92	297
11171	2013
4086	416
4090	658
25805	96
2280	1224
659	357
64750	702
2022	565
920	1011
57154	671
7049	236
9372	223
6885	1628
9958	1235
57530	293
56937	224
7189	1008
2200	565
59	1744
56288	622
9110	555
857	1716
6615	413
338773	115
650	514
5054	790
5154	361
269	235
6497	201
58533	809
387715	76
8829	453
1601	699
50855	191
64805	331
3624	387
5590	784
1281	653
7375	627
23539	202
1277	903
238	347
960	1475
3480	682
81031	189
655	604
8797	223
116844	175
23040	175
3397	281
11259	71
22801	138
7291	396
10733	1129
2857	146
3688	1568
5295	1386
6093	1390
3625	159
9641	713
5584	1084
85366	274
2281	504
4093	321
3690	562
9833	1004
11040	227
5579	798
2932	1838
999	1239
5292	223
27102	174
23031	245
3623	202
9261	1048
29941	265
1326	281
7867	509
29110	1478
26762	29
5627	255
338567	156
27302	346
11329	519
9113	443
11200	1081
26524	422
5592	268
7422	208
7132	763
83983	158
8200	295
5155	633
392255	152
23339	814
83942	178
9020	374
4140	1048
3685	889
53833	146
2660	211
1453	2328
5597	827
5347	2239
1436	624
7204	394
1456	661
55030	56
7045	612
8723	1063
3820	347
8445	435
1454	1035
5596	181
3384	257
2765	78
4653	116
3320	4126
9392	173
3696	264
2817	509
10220	175
387	2762
6711	866
10454	783
23118	895
7311	2739
7314	2285
7316	6260
51377	1813
11059	745
331	520
10413	845
9765	469
6233	3060
6198	1420
6464	1045
23327	1146
5371	874
5515	2879
5516	1356
5520	1896
5500	2707
5501	3381
5499	3398
23645	575
100506658	509
5170	457
8312	529
1460	2464
50848	266
1616	680
1499	3009
23370	226
163	2078
5058	787
23551	32
8878	1896
1969	867
3678	653
9618	324
9231	594
83737	1278
56916	1145
9525	1542
2339	820
85377	345
26051	146
3326	4158
51079	1592
9262	208
10067	1025
6747	1101
10614	1045
7541	196
27333	219
3643	735
595	1028
5663	847
102	1263
6868	426
3717	1048
6513	1879
1739	1586
1495	1446
10097	2701
3161	1200
329	893
5595	2510
57826	810
3551	567
84612	337
8621	1247
1019	2398
5286	1542
7184	2955
2885	2259
5586	1068
2081	475
5908	1743
2177	1254
476	1992
3845	2147
84552	102
894	540
10254	918
7855	318
867	772
3689	1028
1147	1113
4040	491
6850	681
2580	1344
81609	463
25932	1022
5604	1902
60488	1837
9097	1789
9448	518
351	3590
1183	146
9644	208
23161	315
6801	778
1398	991
84888	174
5912	523
821	3214
7097	695
896	400
6400	1377
998	1848
2783	2187
6385	700
7403	1035
2773	2175
330	965
5594	2991
10015	1637
5664	601
2321	436
6875	198
5868	1844
983	3387
4893	2281
27161	1803
55681	887
2782	2916
10818	172
59345	730
4790	2102
5906	1459
23385	552
51132	227
10555	1155
4659	1749
3309	3847
6386	2069
51776	253
5781	1442
1186	890
1021	830
538	1049
10857	2123
84061	1657
1956	2886
1432	1670
92906	432
57551	460
5708	3068
324	936
5777	894
23513	1181
483	1008
9948	1374
2923	2433
4690	1043
8766	2844
9475	728
3815	295
905	960
55737	2242
8826	2453
391	1367
7082	844
5611	929
201595	1729
394	260
27125	753
51762	654
7514	4073
4851	973
86	2779
5585	569
51715	266
7430	1932
57120	629
5795	241
6515	680
5337	539
9761	1078
2683	423
8754	592
11266	863
1650	2463
6714	1989
10211	1092
3842	1705
9218	2598
1020	1173
7341	3388
9043	758
9223	289
7410	376
208	947
143684	705
8650	937
859	385
5788	964
57498	831
55754	1038
5609	298
4642	752
7186	827
8301	1217
10116	530
10989	2211
1017	2339
5218	240
85417	87
92597	540
8900	490
10525	2405
6382	543
7096	555
54209	284
11060	1038
57534	535
8503	486
257397	250
