Trait1	Trait2	TestControl	NetColoc	Parameter Tested	Bin Size	T	T*	Observed Size	Expected Size	log2COLOC Score	COLOC P	LenientOrStrict	SNP-to-Gene
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	bin	5	1	3	390	175.707	1.1503024558834691	1.611e-70	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	bin	10	1	3	383	178.06	1.10498093120193	1.1089999999999998e-65	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	bin	20	1	3	359	167.532	1.0995471554512872	3.1599999999999995e-63	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	bin	40	1	3	361	164.52	1.1337358601615135	1.3619999999999997e-63	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	bin	80	1	3	345	149.389	1.2075224402007538	1.4359999999999995e-62	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	bin	160	1	3	364	158.185	1.20232564866393	9.652e-70	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1	1	721	366.098	0.9777693672712308	2.2139999999999983e-97	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1	1.5	685	339.295	1.0135638180547923	2.5279999999999985e-98	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1.5	1.5	329	140.854	1.2238870497242587	2.3709999999999998e-68	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1	2	606	290.843	1.0590772118525118	9.170999999999992e-102	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1.5	2	329	140.793	1.2245119766637984	2.448e-68	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	2	2	122	50.773	1.26474773625671	4.194e-25	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1	2.5	507	237.835	1.0920247082978858	6.230999999999999e-81	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1.5	2.5	327	139.514	1.2288807343346004	1.0839999999999998e-69	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	2	2.5	122	50.8	1.263980745678083	2.7390000000000003e-27	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	2.5	2.5	29	13.431	1.1104861761649587	1.193e-05	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1	3	412	189.105	1.123456828272907	9.019999999999998e-75	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1.5	3	300	128.581	1.222285024703118	2.963e-57	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	2	3	122	50.666	1.2677913077948306	7.105999999999999e-27	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	2.5	3	29	13.391	1.1147891993859427	1.213e-05	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	3	3	7	3.346	1.0649174766813385	0.04179	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1	3.5	337	148.504	1.1822468004319748	8.857e-66	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1.5	3.5	271	113.866	1.2509558240589036	6.869999999999998e-56	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	2	3.5	122	50.951	1.2596987806635687	1.732e-27	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	2.5	3.5	29	13.516	1.1013846446258577	2.8e-05	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	3	3.5	7	3.291	1.0888288955953422	0.03641	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	3.5	3.5	2	1.024	0.965784284662087	0.3337	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1	4	279	117.617	1.246168524098156	1.6309999999999998e-59	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	1.5	4	242	96.954	1.3196347220219484	1.883e-62	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	2	4	122	50.605	1.2695293060003867	1.0380000000000002e-24	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	2.5	4	29	13.262	1.1287545401364214	8.18e-06	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	3	4	7	3.339	1.0679388286565756	0.04324	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	3.5	4	2	1.0	1.0	0.3168	Lenient	S2G
EFO_0006525_GCST007459	EFO_0006525_GCST007459	Test	Quantitative(Q)	th	10	4	4	0	0.406	-inf	0.5392	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	bin	5	1	3	206	202.222	0.026704378919509122	0.766	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	bin	10	1	3	234	204.433	0.19488043190117013	0.01829	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	bin	20	1	3	210	174.301	0.26880848137156166	0.002376	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	bin	40	1	3	155	151.133	0.03644950709307706	0.7314	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	bin	80	1	3	138	137.888	0.0011713583298733161	0.9914	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	bin	160	1	3	177	139.808	0.34030244430086715	0.0006901	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1	1	526	430.535	0.2889322743834317	7.419e-08	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1	1.5	477	388.555	0.2958704395125787	1.06e-07	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1.5	1.5	150	139.947	0.10008194008051206	0.3534	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1	2	378	317.826	0.25014908415654524	0.0001119	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1.5	2	150	140.274	0.09671487271218815	0.3619	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	2	2	34	42.488	-0.3215206881803986	0.1816	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1	2.5	280	249.866	0.16427222413913664	0.02947	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1.5	2.5	146	138.582	0.07522848678997075	0.4808	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	2	2.5	34	42.625	-0.32616508777383313	0.1471	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	2.5	2.5	13	14.373	-0.14484959605036574	0.7148	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1	3	217	198.453	0.1288976710480136	0.14	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1.5	3	133	125.831	0.07993885421896202	0.479	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	2	3	34	42.536	-0.32314962517041457	0.1672	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	2.5	3	13	14.087	-0.11585278144212001	0.7739	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	3	3	7	5.4	0.3743955147814979	0.4876	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1	3.5	168	157.167	0.09616290302946268	0.3486	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1.5	3.5	118	109.369	0.10958298694094222	0.363	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	2	3.5	34	42.635	-0.3265035102574138	0.1544	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	2.5	3.5	13	14.338	-0.14133217405574017	0.7226	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	3	3.5	7	5.255	0.4136641578701504	0.4323	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	3.5	3.5	0	0.97	-inf	0.3274	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1	4	128	123.619	0.05024331051741786	0.6612	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	1.5	4	87	92.3	-0.08531524690968346	0.5462	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	2	4	34	42.669	-0.3276535532562812	0.1574	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	2.5	4	13	14.24	-0.13143752305058098	0.7367	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	3	4	7	5.478	0.35370565601431303	0.5196	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	3.5	4	0	1.005	-inf	0.3122	Lenient	S2G
EFO_0006501_GCST010538	EFO_0006501_GCST010538	Test	Quantitative(Q)	th	10	4	4	0	0.363	-inf	0.5447	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	bin	5	1	3	444	218.396	1.0236132435456846	3.198999999999999e-60	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	bin	10	1	3	454	227.195	0.99876121247368	5.283e-65	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	bin	20	1	3	444	204.276	1.1200399620534123	6.277999999999997e-81	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	bin	40	1	3	450	195.466	1.2030073192152813	5.712999999999997e-95	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	bin	80	1	3	426	189.552	1.1682597517064206	9.813e-73	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	bin	160	1	3	421	181.981	1.2100324017505635	3.269999999999998e-84	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1	1	781	423.825	0.8818538584574193	1.5639999999999989e-94	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1	1.5	738	401.322	0.8788605711547346	1.5919999999999994e-87	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1.5	1.5	354	179.527	0.9795485255256703	7.143e-48	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1	2	656	348.212	0.9137298931806508	1.0579999999999995e-82	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1.5	2	354	179.712	0.9780626144405239	1.535e-48	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	2	2	104	59.453	0.806762013014957	1.127e-09	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1	2.5	549	285.997	0.940806135470944	1.7479999999999997e-70	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1.5	2.5	350	177.774	0.9773105810952734	9.586e-52	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	2	2.5	104	59.523	0.8050643821563807	8.488e-10	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	2.5	2.5	29	15.714	0.8840024347179068	0.0006817	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1	3	446	228.02	0.9678833391092041	3.2360000000000005e-58	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1.5	3	320	163.498	0.9687989171429775	3.1990000000000003e-41	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	2	3	104	59.219	0.8124514945623399	3.351e-10	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	2.5	3	29	15.892	0.8677522017015603	0.0007785	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	3	3	10	3.123	1.678995525528876	0.0001312	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1	3.5	354	179.705	0.9781188102536739	9.487e-47	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1.5	3.5	274	142.214	0.9461123977335703	5.2570000000000014e-34	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	2	3.5	104	59.352	0.8092149776920852	5.501e-10	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	2.5	3.5	29	15.745	0.8811591427668871	0.0008189	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	3	3.5	10	3.124	1.67853364140747	6.044e-05	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	3.5	3.5	6	0.768	2.965784284662087	3.153e-09	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1	4	273	139.985	0.9636287067249193	1.653e-34	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	1.5	4	228	119.255	0.9349840690692278	7.693e-27	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	2	4	104	59.59	0.8034413758021808	5.189e-09	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	2.5	4	29	15.557	0.898489021304804	0.0004252	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	3	4	10	3.114	1.6831591504704124	8.837e-05	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	3.5	4	6	0.724	3.050900898300038	7.719e-10	Lenient	S2G
EFO_0000731_GCST90018714	EFO_0000731_GCST90018714	Test	Quantitative(Q)	th	10	4	4	0	0.024	-inf	0.8754	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	bin	5	1	3	195	187.566	0.05607578906884935	0.548	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	bin	10	1	3	203	189.806	0.0969541289743593	0.296	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	bin	20	1	3	201	194.591	0.0467505156203789	0.6071	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	bin	40	1	3	207	190.697	0.11834862003180609	0.1885	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	bin	80	1	3	193	182.858	0.07787710182116793	0.419	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	bin	160	1	3	207	177.389	0.2227142177106676	0.01547	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1	1	332	330.495	0.006554795950488313	0.9242	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1	1.5	320	310.523	0.04337177432537138	0.5564	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1.5	1.5	154	141.561	0.12150649267716457	0.253	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1	2	288	271.129	0.0870893793529065	0.2591	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1.5	2	154	141.17	0.12549681648744454	0.2444	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	2	2	50	49.638	0.010483106901156688	0.9577	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1	2.5	245	227.781	0.10513433733975255	0.1947	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1.5	2.5	152	140.585	0.11262865230291232	0.2725	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	2	2.5	50	50.008	-0.00023081274201535847	0.999	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	2.5	2.5	17	16.831	0.014413850611230806	0.9674	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1	3	210	187.858	0.16074677292010944	0.07804	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1.5	3	145	130.603	0.15086486372789176	0.1756	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	2	3	50	49.755	0.00708658204027108	0.9693	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	2.5	3	17	16.668	0.028453741209877675	0.9346	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	3	3	8	6.018	0.41071589332875014	0.4126	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1	3.5	172	152.65	0.17218097538268035	0.08906	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1.5	3.5	127	116.174	0.1285412704939729	0.2826	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	2	3.5	50	50.155	-0.00446543677030039	0.9817	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	2.5	3.5	17	16.83	0.01449956969511517	0.9661	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	3	3.5	8	6.007	0.41335533613561737	0.3963	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	3.5	3.5	3	1.5	1.0	0.2078	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1	4	137	123.82	0.14593152879208876	0.1986	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	1.5	4	105	100.637	0.06122850681784177	0.6405	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	2	4	50	49.733	0.0077246346982178735	0.9683	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	2.5	4	17	16.798	0.017245272992561938	0.9606	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	3	4	8	6.053	0.40234964895188935	0.4241	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	3.5	4	3	1.532	0.9695462034582861	0.2324	Lenient	S2G
EFO_0007117_GCST90100573	EFO_0007117_GCST90100573	Test	Quantitative(Q)	th	10	4	4	0	0.557	-inf	0.4256	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	bin	5	1	3	376	197.887	0.926055822895786	1.228e-43	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	bin	10	1	3	409	200.198	1.0306732816029798	1.1489999999999995e-62	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	bin	20	1	3	418	201.13	1.0553746561713986	3.126999999999999e-64	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	bin	40	1	3	394	179.693	1.1326614203996621	5.280999999999999e-72	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	bin	80	1	3	370	169.462	1.1265634696971216	2.1399999999999998e-67	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	bin	160	1	3	374	164.016	1.1892017113992994	1.355e-68	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1	1	684	371.798	0.8794773154719668	2.568999999999999e-88	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1	1.5	643	343.029	0.9064881891795751	4.162999999999999e-79	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1.5	1.5	307	141.783	1.114554094005176	1.7e-51	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1	2	573	294.777	0.9589111765587648	3.900999999999999e-81	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1.5	2	307	142.482	1.1074589829916934	3.0859999999999994e-57	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	2	2	132	54.529	1.2754423261617043	3.844e-31	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1	2.5	504	244.691	1.042462695218198	6.913999999999999e-77	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1.5	2.5	307	140.379	1.1289115238123522	2.133e-58	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	2	2.5	132	54.541	1.275124872406125	2.0180000000000001e-28	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	2.5	2.5	60	19.868	1.5945158488333675	1.275e-20	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1	3	404	201.307	1.0049579533571544	3.273e-54	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1.5	3	284	131.367	1.1122880202465915	2.107e-44	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	2	3	132	54.165	1.2851051034633822	6.0560000000000014e-30	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	2.5	3	60	19.704	1.6064739677716444	1.9160000000000003e-20	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	3	3	19	6.91	1.4592418028300516	3.653e-06	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1	3.5	334	164.115	1.025140996470352	7.107e-48	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1.5	3.5	260	117.814	1.1420006364583375	6.216e-45	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	2	3.5	132	55.032	1.262195263718591	8.06e-29	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	2.5	3.5	60	19.906	1.5917591520850316	1.5290000000000001e-21	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	3	3.5	19	6.95	1.4509145356074404	4.113e-06	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	3.5	3.5	5	2.415	1.049904905826314	0.08986	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1	4	276	134.738	1.0345114772271575	4.930000000000001e-36	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	1.5	4	233	104.514	1.1566337458008116	4.686999999999999e-44	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	2	4	132	54.32	1.2809825448884462	4.4200000000000004e-29	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	2.5	4	60	19.906	1.5917591520850316	9.248e-20	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	3	4	19	6.808	1.48069647641971	1.81e-06	Lenient	S2G
EFO_0004343_GCST008997	EFO_0004343_GCST008997	Test	Quantitative(Q)	th	10	3.5	4	5	2.294	1.1240627035336244	0.06494	Lenient	S2G
