GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34662886_EFO_0005091_GCST90025950_EFO_0005091	Heart Muscle	2.1653973261508e-12	2	0.154572517802374	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Kidney	2.1653973261508e-12	7	0.325886569432008	9	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Liver	2.1653973261508e-12	13	0.483313832322826	10	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Lung	2.11750010236672	23	1.98268979565738	9	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Lymph Node	104.880594738104	145	9.02746440776366	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Ovary	2.1653973261508e-12	6	0.724112794935738	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Pancreas	2.1653973261508e-12	2	0.429838645395643	2	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Placenta	2.1653973261508e-12	21	0.915198115821557	8	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Prostate	2.1653973261508e-12	4	0.323486815607031	9	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Rectum	2.1653973261508e-12	11	1.02726319122828	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Salivary Gland	2.1653973261508e-12	2	0.36066920820554	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Seminal Vesicle	2.1653973261508e-12	4	0.36486303620793	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Skeletal Muscle	2.1653973261508e-12	9	0.437157879295569	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Skin	2.1653973261508e-12	29	0.989096100328888	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Small Intestine	2.1653973261508e-12	19	0.876744413476114	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Smooth Muscle	2.1653973261508e-12	2	0.352564282178449	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Spleen	89.69833037841	145	7.45875747788998	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Stomach	2.1653973261508e-12	5	0.478326541370152	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Testis	2.1653973261508e-12	75	0.55217423358544	10	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Thyroid Gland	0.0733398812704419	20	1.21151432872131	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Tonsil	50.3882803905498	83	7.39884191037558	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Urinary Bladder	0.0733398812704419	6	1.51830102163945	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Adipose Tissue	1.63256804264177	17	1.96539135335122	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Adrenal Gland	3.35843937236336	29	2.13355318037592	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Appendix	1.19546306848143e-09	5	0.51992771588818	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Bone Marrow	1.19546306848143e-09	15	0.972826423107849	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Breast	1.19546306848143e-09	7	0.965139893345022	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Cerebral Cortex	1.19546306848143e-09	55	0.698797046132305	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Cervix, uterine	0.0363223366299636	9	1.08779681856605	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Colon	0.592133081111089	13	1.54123795525069	13	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Duodenum	21.4878364411899	68	3.98022651433392	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Endometrium	1.19546306848143e-09	6	0.95453396045112	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Esophagus	1.19546306848143e-09	12	0.889884249982319	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Fallopian Tube	1.19546306848143e-09	11	0.4663952950268	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Gallbladder	8.40133565619761	29	3.74853440718825	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Heart Muscle	1.19546306848143e-09	8	0.733533486849137	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Kidney	33.154073493951	86	4.75001024236359	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Liver	124.881303709396	188	8.29223104031708	10	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Lung	0.343779766284015	13	1.32952944491406	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Lymph Node	1.19546306848143e-09	4	0.29545098775868	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Ovary	0.0593050980400319	8	1.14544075254134	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Pancreas	4.50487301188853	15	3.82467374564319	2	0
