Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
mean corpuscular hemoglobin	EFO_0004527	34226706	Rare	Continuous	Hematological	Additional	Blood MEAN CORPUSCULAR VOL	0.5736978	UKB	444035.0	34226706	51	54855,4041,253725,79866,23495,3008,80262,11200,6199,64577,2120,2961,81696,25914,896,84954,51727,100526664,4065,10840,5292,2193,56257,388931,23759,159296,81628,7036,51327,79622,7013,57817,64388,54806,8892,5589,79969,6125,7015,286826,2057,81579,653319,7018,23334,55604,80325,284076,8368,2356,10475	0.098638	0.892	32722.0	14.0	0.01231225	14.486722407407408	53.0	1359.0	45.778	1.026
lung cancer	MONDO_0008903	34244158	Rare	Categorical	Neoplasm	Additional	Lung cancer	1.0000001	MyCode	7798.0	34244158	7	1788,51507,80144,6237,472,80208,90594	1.1808	0.852	108870.0	19.0	0.00737929	8.302044629629629	54.0	2048.0	106.98	1.026
breast cancer	MONDO_0007254	36138231	Rare	Categorical	Neoplasm	Additional	Breast cancer	1.0000001	UKB	91645.0	36138231	5	675,672,11200,79728,25939	1.2863	0.889	61664.0	46.0	0.00462291	3.800203018518519	39.0	2941.0	103.47	0.5314038461538462
eosinophil count	EFO_0004842	33257650	Rare	Continuous	Immunological	Additional	Eosinophil count	1.0	UKB	487409.0	33257650	33	346157,170680,84547,81697,10385,9753,85235,94026,8361,90865,29777,11118,11120,8353,8342,10384,2882,8969,3024,222698,387032,3010,8343,7746,696,10279,8330,8348,222696,26212,8328,7745,22895	0.33067	1.57	8601.0	8.0	0.002069865	2.707454711111111	20.0	995.0	16.187	1.011
osteoporosis	EFO_0003882	37262146	Rare	Categorical	Skeletal	Additional	M81_osteoporosis_without_pathological_fracture	0.7467269	UKB	439479.0	37262146	6	7471,4041,4088,683,1277,10063	0.19365	0.7195	29094.5	58.0	0.0335132	25.377533768518518	50.5	1083.5	42.9975	1.0765
chronic obstructive pulmonary disease	EFO_0000341	26736064	Rare	Categorical	Respiratory	Additional	Chronic obstructive pulmonary disease	1.0000001	COPDGene	347.0	26736064	9	3987,6289,6291,266727,59350,5555,10577,55274,6368	0.23195	1.212	17985.0	13.0	0.005353975	13.712282592592588	32.0	501.0	19.664	0.9559
HbA1c measurement	EFO_0004541	36280733	Rare	Continuous	Hematological	Additional	HBA1C measurement	0.9999998	Mixed	48677.0	36280733	6	9780,5871,2539,63891,10481,347273	-0.17054	0.875	24035.0	16.5	0.00917699	14.544221851851852	54.0	1755.5	117.48	1.0415
asthma	MONDO_0004979	36138231	Rare	Categorical	Respiratory	Additional	Asthma	0.99999976	UKB	164470.0	36138231	4	90865,5545,115677,7272	-0.169615	1.579	40418.5	19.0	0.0020724999999999997	6.309895331481484	30.5	1086.5	21.65	0.62725
calcium measurement	EFO_0004838	34662886	Rare	Continuous	Metabolic	Additional	Calcium (30680) measurement	0.9155125	UKB	378234.65	34662886	8	846,85302,9247,249,8527,26504,23253,2217	-0.06419000000000002	0.75	59992.5	15.5	0.023863750000000003	10.88636537037037	54.0	2331.0	63.521	1.066
type 2 diabetes mellitus	MONDO_0005148	20549515	Rare	Categorical	Endocrine	Additional	Type 2 diabetes	0.9474359	WTCCC	4901.0	20549515	3	57623,132612,54469	-0.70928	0.778	80724.0	9.0	0.0234132	4.41876925925926	54.0	1702.0	55.24	1.138
total cholesterol measurement	EFO_0004574	36280733	Rare	Continuous	Lipid Measurement	Additional	Total cholesterol measurement	1.0	Mixed	76999.0	36280733	14	3949,255738,348,338,23460,27329,64240,19,9388,29881,85302,350,51594,6580	0.09217349999999999	1.112	37694.5	31.5	0.0020648949999999998	8.693063275925926	11.5	2219.5	82.253	1.0114999999999998
crohn's disease	EFO_0000384	21738570	Rare	Categorical	Gastrointestinal	Additional	Crohn's disease	1.0	WTCCC	4690.0	21738570	19	345611,64127,159296,149233,1540,91975,55054,400757,5771,124460,6584,3118,8927,81492,202865,84619,275,327,6774	0.52741	0.906	28677.0	24.0	0.0040866	5.816935968518518	35.0	1301.0	42.53	1.015
sex hormone-binding globulin measurement	EFO_0004696	36809768	Rare	Continuous	Endocrine	Additional	SHBG measurement	0.9384755	UKB	356748.0	36809768	269	7157,201243,6462,55135,1140,407977,54407,221037,643664,23135,11183,116840,968,5265,1973,8741,11321,9744,10599,80010,80339,374768,9971,23173,284114,8890,345275,26160,25813,1109,3837,126695,8431,57523,3083,124872,28983,65986,57159,146754,57048,8884,4299,5345,3626,10462,124997,350,9513,3172,7366,29780,6927,402682,5468,127,81579,22837,54869,51374,51168,6579,23499,84316,6655,64897,9526,2668,10613,22853,3000,51225,4486,242,493901,57333,51087,2217,3075,54989,84456,84769,10437,283600,51081,8925,63891,283471,27436,254863,6239,4018,8416,5859,219790,3142,8814,63035,348,64147,22937,57678,6789,100129583,415,26168,84890,5104,2875,433,441381,121006,25930,55582,3594,8927,6494,9401,23218,29072,7153,51530,3171,51490,8379,128869,7054,80267,8644,1366,128272,151194,140775,80212,84461,6470,219931,100128927,9836,7156,79832,619279,5335,83658,85363,54458,54662,81565,2328,22823,6554,51750,50999,29948,91039,550631,6945,341276,3798,200312,269,85441,201294,6517,91056,1294,2876,79629,419,23031,4650,25851,2041,990,2288,126231,57337,25861,65009,8079,247,26,343099,96459,1062,91012,399909,91748,27037,57082,8448,348487,389118,54536,152940,28234,150159,57600,4779,54785,84286,6654,51187,150223,79647,55793,25778,930,23460,675,79018,162417,22913,6911,8602,1523,1312,7453,2052,54014,10903,259266,25764,5257,4584,10058,4763,3713,3021,1589,51027,9687,5639,55630,80726,6154,7205,3570,10480,80237,2923,7813,2868,37,165918,10747,4927,6514,64838,710,3915,3691,80131,8711,11240,23351,51061,151516,1107,4974,4946,4163,57644,7158,84274,84938,26024,65110,1551	0.10345	0.911	25526.0	13.0	0.00772387	12.051418101851851	53.0	1529.5	48.347	1.026
reticulocyte count	EFO_0007986	34662886	Rare	Continuous	Hematological	Additional	30250_reticulocyte_count_inst_mean__rint	0.6787377	UKB	412387.1296296296	34662886	29	7866,2766,6708,3717,6005,5313,6521,6427,8877,10019,9780,3043,2035,10788,286,272,54790,388931,5140,6710,8780,759,11068,10385,10107,9351,25981,9921,5346	-0.095279	1.006	45700.0	17.0	0.00851996	7.136858288888889	53.0	1569.0	46.641	1.026
mean corpuscular hemoglobin	EFO_0004527	31992710	Rare	Continuous	Hematological	Additional	Mean corpuscular haemoglobin	0.94663805	UKB	50101.0	31992710	3	3043,10661,164656	-1.4054	1.777	3931.0	16.0	0.00197621	2.201410181481481	8.0	1089.0	25.146	1.0128333333333333
lymphocyte count	EFO_0004587	37262146	Rare	Continuous	Immunological	Additional	Lymphocyte_count	0.9648471	UKB	409154.0	37262146	43	100423062,22821,5922,8877,11200,23218,3683,10235,56848,23253,10019,8698,4615,55843,22904,2870,374403,3717,6793,59307,7412,7852,54790,472,197358,23526,64766,156,1901,2516,27250,150468,5310,64926,10146,22890,84166,9402,6093,8879,54518,2529,23370	-0.14621	0.847	39697.0	17.0	0.0237659	14.242143518518521	54.0	1648.0	51.728	1.026
coronary artery disease	EFO_0001645	24507775	Rare	Categorical	Cardiovascular	Additional	Coronary artery disease	0.9999999	Mixed	2005.0	24507775	4	255738,3949,338,150379	0.09217349999999999	1.1705	34025.5	62.0	0.00428698	4.699386543518518	10.0	2296.0	81.943	0.7626875
Alzheimer disease	MONDO_0004975	26394601	Rare	Categorical	Neurological	Additional	Alzheimer’s	0.85812485	NCRAD	77.0	26394601	5	123041,80704,8567,143888,116444	0.1849	0.968	34265.0	17.0	0.00299937	3.889063266666666	31.0	1806.0	53.594	1.134
low density lipoprotein cholesterol measurement	EFO_0004611	30140000	Rare	Continuous	Lipid Measurement	Additional	Low-density lipoprotein cholesterol measurement	0.9948869	Study30140000	16324.0	30140000	4	255738,348,3949,338	0.09217349999999999	1.1705	34025.5	66.5	0.008265175	14.300745567592589	33.5	2296.0	81.943	0.9605
eosinophil count	EFO_0004842	35935937	Rare	Continuous	Immunological	Additional	Eosinophil count	1.0	UKB	200000.0	35935937	17	90865,8698,1439,246,3717,1053,22807,23765,7148,10019,54620,7916,3107,96459,3568,3127,8807	-0.76139	0.848	30739.0	23.0	0.00892589	10.509851481481483	52.0	1658.0	46.197	0.952
platelet count	EFO_0004309	36138231	Rare	Continuous	Hematological	Additional	Platelet count	1.0	UKB	162248.0	36138231	41	8328,5900,3717,10019,81027,2815,4352,283450,10788,221477,2812,23495,2811,115677,3674,4584,7272,115209,4065,811,100526664,5794,80018,80724,4855,7148,3710,114548,8575,163259,23316,5545,91828,51751,11200,259215,7805,7066,3107,7916,150468	0.18678499999999998	0.9	38640.0	18.0	0.00324616	4.798064920370371	39.0	1989.0	54.895	1.0228
platelet component distribution width	EFO_0007984	36138231	Rare	Continuous	Hematological	Additional	Platelet distribution width	0.96663564	UKB	162246.0	36138231	24	81027,8328,5900,163259,51012,51497,2815,81704,2811,342618,5341,948,4653,171023,2812,3717,116519,23215,11200,84790,56257,4864,140876,4091	0.32578	0.918	49650.5	18.5	0.011069555	13.93204148148148	50.0	1503.0	35.605	1.026
monocyte count	EFO_0005091	37262146	Rare	Continuous	Immunological	Additional	Monocyte_count	0.9271267	UKB	409154.0	37262146	31	2322,729230,7852,2323,23765,3845,4763,8698,3394,23495,54790,1238,5310,11318,8291,9957,83706,64115,8837,9473,10019,151112,93973,84166,339,2873,54436,90332,23108,22904,5140	0.0010979	0.836	36414.0	19.0	0.0130994	9.427770103703704	52.0	1534.0	47.334	0.952
psoriasis	EFO_0000676	24212883	Rare	Categorical	Dermatological	Additional	Psoriasis	1.0000002	Psoriasis	1457.0	24212883	6	51752,149233,2706,125893,2524,6894	0.415375	1.33	30411.0	23.0	0.001634535	8.262811039814817	37.0	1153.5	29.693	1.0245
mean reticulocyte volume	EFO_0010701	34662886	Rare	Continuous	Hematological	Additional	Mean reticulocyte volume (30260)	0.90630937	UKB	412489.3089430895	34662886	34	1677,3717,3043,6708,5426,6005,286,6521,6710,79866,1890,23451,7866,51750,1874,5933,2782,56997,7015,79733,10107,63922,10483,759,9857,345,25914,171023,343406,6199,63967,6427,7832,3040	0.0067995	0.774	35053.5	19.0	0.01594715	11.15733101851852	54.0	1774.5	62.095	1.026
alkaline phosphatase measurement	EFO_0004533	31992710	Rare	Continuous	Metabolic	Additional	Alkaline phosphatase measurement	1.0000001	UKB	48372.0	31992710	4	249,2822,432,8647	0.608945	0.9075	69826.5	40.5	0.0037302100000000003	6.4917040879629635	34.0	1999.5	52.792	1.026
c-reactive protein measurement	EFO_0004458	34662886	Rare	Continuous	Hepatic	Additional	C reactive protein (30710) measurement	0.8995948	UKB	411217.3333333333	34662886	4	1401,19,2538,3953	1.021835	0.776	80395.0	28.0	0.020731335	8.538505879629628	26.0	1767.0	71.6375	1.0516666666666667
red cell distribution width	EFO_0009188	36138231	Rare	Continuous	Hematological	Additional	Red blood cell (erythrocyte) distribution width	0.7892389	UKB	162248.0	36138231	28	10661,5589,10723,3313,3043,345,164656,10483,85409,7037,81628,1677,340024,3717,286,327,3931,2766,147138,10615,171023,10107,7036,558,6521,80325,2035,5922	-0.13441	0.9125000000000001	22939.5	20.0	0.006879395	17.321012777777774	54.0	1932.5	71.872	1.0255
total blood protein measurement	EFO_0004536	34226706	Rare	Continuous	Metabolic	Additional	Biochemistry Total Protein measurement	0.8330916	UKB	400482.0	34226706	13	2217,29886,608,23166,10788,5265,29974,2356,345,5348,6614,8863,7424	-0.49397	1.006	25630.0	17.0	0.00460278	16.958884425925923	51.0	1398.0	41.42	0.962
bilirubin measurement	EFO_0004570	36088354	Rare	Continuous	Hematological	Additional	Total bilirubin measurement	0.95090806	UKB	181997.0	36088354	3	8527,55054,6295	-0.45655	0.547	85623.0	27.0	0.0622359	21.25431185185185	54.0	1617.0	83.017	1.1364
triglyceride measurement	EFO_0004530	33763119	Rare	Continuous	Lipid Measurement	Additional	Triglyceride levels measurement	0.950777	Nevada	9183.0	33763119	15	116519,345,4023,84811,11183,51085,337,8890,29959,9031,26160,23387,64838,81566,5496	-0.041941	0.745	24817.0	16.0	0.0597371	31.185787407407407	54.0	1632.0	55.806	1.026
phosphate measurement	EFO_0010968	36809768	Rare	Continuous	Metabolic	Additional	Phosphate	0.78908604	UKB	359484.0	36809768	82	249,10636,2251,1475,8074,368,83666,5167,6295,23431,124997,6569,142680,5345,860,79748,10948,2264,338773,6694,80129,5468,4582,9988,6927,5335,283383,56172,1109,5909,90342,4351,135228,1584,2804,25989,10216,55062,942,2064,4580,54869,60312,92421,80198,51168,196740,9755,5169,3174,3837,3059,27165,54805,124989,8818,157285,325,55054,127385,9733,6565,9118,126070,1942,64220,79812,9424,54842,79930,3257,5251,9260,7559,164656,23505,22877,79927,57605,170370,125893,1523	0.03267	0.899	33371.0	16.5	0.01111015	12.25258506111111	47.5	1659.0	58.354	1.026
cystatin c measurement	EFO_0004617	37262146	Rare	Continuous	Renal	Additional	Cystatin_c measurement	0.98282105	UKB	402826.0	37262146	38	1471,142680,9071,10019,5310,4763,6569,340024,25865,54790,55603,11136,5314,6557,4036,6427,29842,3845,5781,145957,533,2538,23253,5129,3758,23218,55714,3645,22981,4091,4864,3717,6121,8850,115098,144100,79832,80781	0.054195	0.848	74468.5	17.0	0.024307000000000002	10.273426694444442	51.0	1852.5	70.293	1.026
obesity	EFO_0001073	32492392	Rare	Categorical	Anthropometric	Additional	Obesity	1.0	SCOOP,INTERVAL	9441.0	32492392	43	7358,23195,5544,610,389549,27107,51741,54832,23256,9205,342372,728378,114,11336,653720,65082,133308,339184,83879,55023,56616,6249,3904,9512,7716,5630,57639,11325,4593,4124,7743,84162,23019,387338,1759,8495,373509,23499,8590,79172,11027,57154,5339	0.2289	0.783	52690.0	17.0	0.0227326	9.936465555555554	54.0	2019.0	58.278	1.0533571428571427
breast cancer	MONDO_0007254	34662886	Rare	Categorical	Neoplasm	Additional	Icd10 z85.3: personal history of malignant neoplasm of breast	0.56209165	UKB	387891.6785714286	34662886	4	675,11200,79728,672	1.4165	0.8925000000000001	69930.5	46.5	0.0035006200000000003	2.9440181851851857	38.5	3419.0	139.155	0.4097019230769231
forced expiratory volume	EFO_0004314	34662886	Rare	Continuous	Respiratory	Additional	Forced expiratory volume in 1 second fev1 (3063)	0.72633696	UKB	395450.9166666667	34662886	5	140628,170691,57623,54507,7273	-1.1544	0.92	235261.0	11.0	0.0234132	4.41876925925926	32.0	3328.0	124.75	1.026
diastolic blood pressure	EFO_0006336	34226706	Rare	Continuous	Cardiovascular	Additional	Diastolic blood pressure	1.0000001	UKB	422713.0	34226706	11	1621,80012,4093,152273,9351,56898,9938,3434,54461,54502,128611	-0.12057	0.936	76056.0	15.0	0.014027	10.052960970370371	50.0	1701.0	47.827	1.026
body mass index	EFO_0004340	27646141	Rare	Continuous	Anthropometric	Additional	BMI	0.864352	COPDGene	399.0	27646141	5	81575,10302,9843,11173,150	-1.5797850000000002	1.7974999999999999	52258.0	10.0	0.00600684	14.167024342592594	49.0	1398.0	9.9036	1.018
lipoprotein A measurement	EFO_0006925	28089252	Rare	Continuous	Lipid Measurement	Additional	Lipoprotein(a) measurement	0.9594934	ARIC	1860.0	28089252	3	6581,8076,5340	-0.94558	0.975	51903.0	32.0	0.00218972	19.64230615	34.0	1380.0	42.755	1.022
grip strength measurement	EFO_0006941	34662886	Rare	Continuous	Muscular	Additional	Hand grip strength right (47) measurement	0.886701	UKB	429316.0	34662886	6	7273,5066,10765,57634,197135,23112	0.683145	0.6685	203133.5	26.0	0.0263087	10.977551611111112	54.0	3998.0	178.365	1.116
urate measurement	EFO_0004531	37262146	Rare	Continuous	Renal	Additional	URATE measurement	1.0000002	UKB	402384.0	37262146	29	116085,56606,5174,9429,5635,6557,6524,4036,1286,11136,3483,7498,4296,9071,2538,145957,1607,3645,5871,90,8867,22981,4224,3758,8216,5122,112609,54963,6509	-0.12958999999999998	1.0015	46389.0	16.0	0.00268681	4.160507481481482	21.0	1703.0	60.6135	1.026
heel bone mineral density	EFO_0009270	34226706	Rare	Continuous	Skeletal	Additional	Bmd HEEL TSCORE	0.7643401	UKB	445855.0	34226706	18	4041,54461,64388,23705,56955,1588,80067,1374,54850,114990,23166,22955,6694,54436,2139,135228,4038,121340	0.35202999999999995	0.849	60828.0	14.5	0.0180834	8.713113684259259	51.0	1610.0	49.6105	1.026
HbA1c measurement	EFO_0004541	34226706	Rare	Continuous	Hematological	Additional	Biochemistry HbA1c measurement	0.93346965	UKB	437749.0	34226706	34	57818,9780,56172,5589,5211,286,7036,81579,272,169026,2038,10347,343406,23495,5794,645,388931,6005,84126,5341,147138,5198,2766,83795,9429,26128,3651,391112,558,164656,154810,5078,22937,10019	0.0695585	1.022	29961.5	15.0	0.0050931150000000005	8.387472314814815	51.0	1507.5	62.828500000000005	1.026
systolic blood pressure	EFO_0006335	34226706	Rare	Continuous	Cardiovascular	Additional	Systolic blood pressure	1.0	UKB	422713.0	34226706	16	2669,81578,1621,80012,9351,6494,54461,152273,54620,140628,392,168455,6237,399909,5972,54502	-1.165395	1.0025	22314.5	17.0	0.038822449999999994	14.23808537962963	52.5	1701.0	49.328	1.026
glucose measurement	EFO_0004468	36809768	Rare	Continuous	Metabolic	Additional	Glucose	0.74839574	UKB	359757.0	36809768	49	6514,57818,169026,11183,57405,115677,5871,5122,84226,11321,2740,63892,3630,26160,8890,8567,389840,83986,58498,54790,26086,55062,3767,56172,6833,3837,53,64599,169436,8518,3717,54832,147912,80267,83637,54942,8189,10051,2572,23051,7466,79966,51619,2696,79841,27434,4038,3626,6239	0.006258	0.887	42522.0	15.0	0.0109794	12.735483314814813	53.0	1948.0	58.352	1.0446666666666666
IgF-1 measurement	EFO_0004627	36088354	Rare	Continuous	Endocrine	Additional	IGF-1 measurement	0.813291	UKB	181758.0	36088354	6	3483,3486,2688,2691,60676,7559	-0.580885	0.853	10181.0	16.5	0.019088149999999998	7.935722157407407	20.0	1083.5	21.377	0.7308333333333333
HDL cholesterol change measurement	EFO_0007805	37262146	Rare	Continuous	Lipid Measurement	Additional	Hdl_cholesterol measurement	0.9169419	UKB	368755.0	37262146	42	19,3931,335,10062,116519,948,27329,5360,5140,23166,5346,10019,338,6427,345,5468,867,84699,81579,2590,4091,3990,23218,9388,8856,85441,1071,9817,54790,9619,84649,100128927,57678,5046,1582,84312,3039,123016,150483,3172,2342,558	0.02436685	0.9425	38244.5	26.0	0.01114455	9.806630166666668	48.0	1362.5	46.78	1.026
neutrophil count	EFO_0004833	34662886	Rare	Continuous	Immunological	Additional	Neutrophil count (30140)	0.90755975	UKB	418407.1590909091	34662886	16	3717,10019,4353,6372,3579,1441,7852,54790,2920,11200,2782,9368,4763,23765,8698,673	0.037809999999999996	1.073	25732.0	30.0	0.00926161	10.743715277777778	53.5	1407.5	37.5025	1.0234999999999999
phosphate measurement	EFO_0010968	34226706	Rare	Continuous	Metabolic	Additional	Biochemistry Phosphate	0.7383028	UKB	400159.0	34226706	17	249,6694,142680,11227,56172,5167,23682,368,846,81579,83463,6569,325,8074,340024,11200,10019	0.045816	1.201	45700.0	27.0	0.00274324	3.800203018518519	16.0	1471.0	42.48	1.026
mean corpuscular hemoglobin	EFO_0004527	34662886	Rare	Continuous	Hematological	Additional	Mean corpuscular haemoglobin (30050)	0.90789413	UKB	419104.55479452055	34662886	36	3043,2766,10661,164656,7037,7036,3040,8131,79733,5426,3313,79866,11200,9440,23451,63922,253725,51750,7015,1677,212,56997,2782,6241,23253,23456,5933,5073,6199,1874,56254,51327,4864,171023,6521,63967	0.078645	0.759	42023.0	22.5	0.0182197	12.518264174999999	54.0	1894.5	66.709	1.026
HbA1c measurement	EFO_0004541	37262146	Rare	Continuous	Hematological	Additional	Glycated_haemoglobin_hba1c measurement	0.777625	UKB	401817.0	37262146	47	5871,5213,9780,2035,6708,3739,327,57818,19,2038,147138,5211,3931,164656,6927,6006,7036,2621,338,2993,286,79802,91937,6710,84699,1803,272,8925,5589,8639,64599,3172,6561,10519,5794,6007,23218,4763,51527,90,23230,3043,91039,2642,5198,4299,558	0.087664	0.777	41265.0	17.0	0.0115882	8.932720185185183	52.0	2057.0	80.942	1.026
cystatin c measurement	EFO_0004617	34226706	Rare	Continuous	Renal	Additional	Biochemistry Cystatin C measurement	0.96071565	UKB	437846.0	34226706	26	10019,142680,84952,27237,6569,9071,283450,1591,11136,4286,29842,128821,6654,54502,140628,345,6557,6526,2886,10725,10903,5739,7056,286256,4036,92359	-0.180025	1.0485	29565.0	14.0	0.007134745	9.809769683333336	32.0	1512.5	47.9585	1.026
urate measurement	EFO_0004531	36809768	Rare	Continuous	Renal	Additional	URATE measurement	1.0000002	UKB	392869.0	36809768	197	116085,56606,9429,11183,9948,3626,4580,84226,126133,4296,3174,11321,92912,9379,51085,26160,9031,9066,1589,56955,51032,6239,1942,220963,4036,5331,3697,23166,64943,401262,26354,57159,3166,6787,6927,254102,6494,50801,55867,8884,5174,8431,3172,5310,126695,283234,116449,3798,80339,89792,89845,9092,23317,6789,5859,254187,10072,823,842,9073,27165,22823,6655,125,6524,6569,79026,5526,25923,3630,50999,23460,5891,91419,5837,7105,3699,22853,399909,7318,79814,5468,64116,348,156,55193,22937,64147,3700,22877,8029,80128,55561,6565,57124,91646,10235,23259,9855,55690,84072,83706,100131755,6583,374291,64837,1944,1520,3483,29956,24149,1286,25813,1294,7054,3231,29072,84769,56905,164,25930,23461,23218,3645,64843,51374,525,11136,23135,5002,6745,10623,5939,585,50636,10437,343099,57111,89894,22913,2735,8030,3043,64333,125893,8814,7050,200010,3381,3632,10089,22837,83795,8877,26084,283130,1834,292,89822,64232,222643,51191,10014,51514,207063,124989,84074,4140,8751,26229,9703,286676,56155,1816,64220,54894,29945,2444,8986,342372,11138,23130,4723,3084,22950,5414,115557,9610,217,92822,55778,9736,11074,57657,112479,114780,284086	0.18902	0.899	27558.0	14.0	0.00879822	12.613359999999998	52.0	1610.0	60.388	1.026
eosinophil count	EFO_0004842	34662886	Rare	Continuous	Immunological	Additional	Eosinophil count (30150)	0.9197532	UKB	418303.0526315789	34662886	14	90865,54790,1439,8288,246,23765,10019,1053,1232,3568,345,6427,2782,8698	-0.5083	1.2335	28775.0	22.0	0.007461965	7.567115122222223	32.5	1119.0	24.185000000000002	0.8410416666666667
monocyte count	EFO_0005091	34662886	Rare	Continuous	Immunological	Additional	30130_monocyte_count_inst_mean__rint	0.5923637	UKB	418415.9696969697	34662886	12	23765,23495,2322,4353,171023,9938,7852,729230,64333,4763,1053,8698	0.365785	0.9075	23644.5	24.5	0.00936314	7.107322516666667	38.0	1832.0	63.239999999999995	1.026
platelet component distribution width	EFO_0007984	37262146	Rare	Continuous	Hematological	Additional	Platelet_distribution_width	0.9159477	UKB	409922.0	37262146	51	81027,948,6427,116519,54790,140876,80739,4864,3717,63897,8328,27329,9909,23166,80005,2815,4023,7277,148932,81704,2812,117143,4091,57140,51294,5777,114786,51379,10788,79890,10066,2516,64781,51429,7171,392,163259,9124,1796,57666,5795,150468,11252,4778,6938,1848,23218,9703,8821,375033,2814	0.1779	0.8195	31008.0	15.0	0.0157042	11.202372178703708	53.0	1644.0	53.257000000000005	1.026
glucose measurement	EFO_0004468	34226706	Rare	Continuous	Metabolic	Additional	Biochemistry Glucose	0.70318854	UKB	400458.0	34226706	5	57818,56172,169026,83795,84826	0.087664	1.463	8709.0	9.0	0.0011257	0.2248105274074074	2.0	833.0	22.266	1.026
bilirubin measurement	EFO_0004570	37262146	Rare	Continuous	Hematological	Additional	Direct_bilirubin measurement	0.89293015	UKB	342245.0	37262146	35	54658,54579,54659,54578,54577,54575,54576,10599,54657,3043,9970,6005,6521,1244,85302,6708,29974,286,10019,8856,8340,2035,8714,7516,164656,114548,56261,23166,26245,4633,3739,2217,7184,6710,5213	0.017838	0.936	45700.0	20.0	0.00460278	2.201410181481481	10.0	1605.0	46.376	1.025375
coronary artery disease	EFO_0001645	28642624	Rare	Categorical	Cardiovascular	Additional	Coronary artery disease	0.9999999	PDAY	985.0	28642624	3	25806,65986,9706	-0.60445	0.766	64797.0	23.0	0.0342075	6.6596876666666684	53.0	2379.0	68.659	1.099
IgF-1 measurement	EFO_0004627	37262146	Rare	Continuous	Endocrine	Additional	IGF_1 measurement	0.80819505	UKB	400675.0	37262146	42	3483,60676,3717,3480,2691,2693,2688,11180,23166,55576,3489,6755,10846,219409,5795,2538,10765,1109,7015,58986,949,57623,56999,79109,6603,58158,5140,23534,58499,80274,2965,2487,6045,23051,54676,55023,4481,54980,283455,158326,5159,1606	0.16927999999999999	0.8265	70549.0	17.0	0.0248327	7.868587962962961	51.5	2108.0	61.9355	1.026
Alzheimer disease	MONDO_0004975	30255815	Rare	Categorical	Neurological	Additional	Alzheimer disease	0.99999994	ADNI	695.0	30255815	5	91828,7127,140901,79689,130827	-0.8631	1.107	36002.0	8.0	0.00580476	14.092461851851851	40.0	1605.0	41.925	1.02
mean reticulocyte volume	EFO_0010701	34226706	Rare	Continuous	Hematological	Additional	Blood MEAN RETICULOCYTE VOL	0.82108974	UKB	436944.0	34226706	36	343406,2993,286,57217,79866,759,345,79006,8877,896,6199,25914,645,6005,81442,2038,81448,6521,1890,540,5933,2120,159296,10058,222698,51727,124491,79591,283450,5198,23640,79671,2766,80262,8780,51171	-0.041713	1.0234999999999999	23641.5	13.0	0.004877695	10.317815305555555	52.5	1242.0	34.710499999999996	1.026
total blood protein measurement	EFO_0004536	37262146	Rare	Continuous	Metabolic	Additional	Total_protein measurement	0.81121576	UKB	368534.0	37262146	26	2217,85302,23253,23166,608,23495,10788,23102,29886,2213,54453,57623,5345,8741,5289,9881,8973,8692,55667,22821,50615,8001,54855,7099,166929,10019	-0.2397745	0.828	47784.0	12.5	0.01643145	10.351037592592593	53.0	1445.0	41.769	1.026
platelet count	EFO_0004309	31992710	Rare	Continuous	Hematological	Additional	Platelet count	1.0	UKB	50129.0	31992710	4	81027,4352,3674,2815	0.85318	1.022	11936.5	18.5	0.0021709349999999997	0.8335999564814814	4.0	1626.5	86.809	1.024
total cholesterol measurement	EFO_0004574	31367044	Rare	Continuous	Lipid Measurement	Additional	TOTCHOL measurement	0.8271134	Finnish	19291.0	31367044	12	3949,338094,53345,255738,338,23025,348,10147,5473,9388,56242,5196	0.08040549999999999	1.0819999999999999	27099.5	25.0	0.005161465	3.854732589814815	15.5	1431.5	49.504000000000005	0.9375
red cell distribution width	EFO_0009188	31992710	Rare	Continuous	Hematological	Additional	Red blood cell (erythrocyte) distribution width	0.7892389	UKB	39306.0	31992710	3	3043,10661,10483	-1.4054	1.777	3931.0	15.0	0.00197621	22.94012907407407	54.0	1089.0	25.146	1.025
c-reactive protein measurement	EFO_0004458	31367044	Rare	Continuous	Hepatic	Additional	CRP measurement	0.8830044	Finnish	17927.0	31367044	4	348,1401,2538,3953	0.115375	1.141	8621.5	28.0	0.007427495	55.340992025925914	26.0	826.5	22.4565	0.9786666666666668
triglyceride measurement	EFO_0004530	36564505	Rare	Continuous	Lipid Measurement	Additional	Triglycerides	0.759514	TOPMed	200000.0	36564505	7	80781,345,5049,116519,348,335,337	0.069172	1.146	3366.0	39.0	0.00980722	112.3220758703703	16.0	954.0	26.901	0.911
