Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
bipolar disorder	MONDO_0004985	34375979	Rare	Categorical	Psychiatric	Initial	Bipolar affective disorder	0.8998481	UKB	249423.0	34375979	8	5470,79137,4599,79768,6283,317772,6092,79722	-0.00031499999999998196	0.8895	46379.0	16.5	0.009120165	5.517029993240741	34.0	1450.5	53.2715	1.026
multiple sclerosis	MONDO_0005301	34375979	Rare	Categorical	Neurological	Initial	Multiple sclerosis	1.0000002	UKB	205297.0	34375979	6	55901,1955,57592,401152,22807,145497	0.07341700000000001	0.6805	41569.0	6.0	0.054694799999999995	10.155939287037036	52.5	1570.5	44.197500000000005	1.026
pain	EFO_0003843	34375979	Rare	Categorical	Pain	Initial	Pain| unspecified	0.7446017	UKB	269170.0	34375979	7	5595,7473,8635,2020,488,9787,51400	0.17864	0.775	43496.0	18.0	0.103646	28.314147777777773	54.0	1002.0	35.86	1.134
body fat percentage	EFO_0007800	37262146	Rare	Continuous	Anthropometric	Initial	Body_fat_percentage	0.891474	UKB	414522.0	37262146	10	4160,5468,27436,5443,2746,5611,1296,27107,85004,8651	-0.408875	0.9435	37312.0	21.0	0.044871350000000004	14.263945462962962	51.5	1295.0	26.9155	1.1237166666666667
autoimmune thyroid disease	EFO_0006812	34375979	Rare	Categorical	Immunological	Initial	Autoimmune thyroiditis	0.9558911	UKB	159166.0	34375979	6	1609,11069,114991,4128,2004,30012	-0.80003	0.608	83679.5	18.0	0.06596505	19.150796111111113	51.5	1955.0	87.918	1.0533333333333332
duodenal ulcer	EFO_0004607	34375979	Rare	Categorical	Gastrointestinal	Initial	Duodenal ulcer	1.0000002	UKB	186539.0	34375979	26	55237,8774,6251,10804,23621,3955,165082,113878,6164,9212,359,51062,1017,2911,1294,23196,222171,7227,55905,4123,25849,5050,84301,144811,10516,55698	-0.0492685	0.7995	31141.5	14.0	0.01826865	13.798202629629628	52.0	1257.0	37.8685	1.026
mean reticulocyte volume	EFO_0010701	34375979	Rare	Continuous	Hematological	Initial	Mean reticulocyte volume	1.0000002	UKB	256371.0	34375979	13	1677,6005,6521,3043,6708,5426,759,6710,7015,63922,79733,10483,51750	-0.089831	0.728	38443.0	22.0	0.0154872	5.869768279629628	31.0	2604.0	89.665	1.025
otitis media	EFO_0004992	34375979	Rare	Categorical	EarNoseThroat	Initial	Chronic mucoid otitis media	0.7611385	UKB	269170.0	34375979	5	130617,4898,84839,144608,10788	0.30424	1.006	89614.0	12.0	0.00288367	7.136858288888889	39.0	738.0	40.571	1.010125
chronic obstructive pulmonary disease	EFO_0000341	34375979	Rare	Categorical	Respiratory	Initial	Other chronic obstructive pulmonary disease	0.9402597	UKB	222220.0	34375979	11	81789,8774,11178,285220,51252,57495,79836,126308,23373,10436,10572	-0.65508	0.989	48311.0	9.0	0.0295827	6.34886185	51.0	1566.0	38.001999999999995	1.049
osteoporosis	EFO_0003882	34375979	Rare	Categorical	Skeletal	Initial	Osteoporosis	1.0	UKB	281104.0	34375979	6	7471,55423,92285,23217,79608,10403	-0.24036999999999997	1.087	40826.0	12.5	0.00226121	2.3801041101851856	17.0	996.5	28.617	0.79775
obsessive-compulsive disorder	EFO_0004242	34375979	Rare	Categorical	Psychiatric	Initial	Obsessive-compulsive disorder	1.0000001	UKB	269170.0	34375979	7	55007,91584,4664,79734,9816,7409,51526	0.47	0.786	33953.0	11.0	0.0446349	12.956535	53.0	1463.0	42.719	1.127
total lipids in medium VLDL	EFO_0022153	36809768	Rare	Continuous	Metabolic	Initial	Total Lipids in Medium VLDL	1.0000002	UKB	97869.0	36809768	41	348,338,345,4023,116519,8882,53345,84811,1463,51085,84226,11321,4018,9031,255738,27329,1071,5049,51129,337,8890,587,26160,6580,23624,3949,57159,256006,728780,8884,78992,10087,22837,23173,2524,343263,134359,23460,5817,64241,5140	0.056437	1.038	25407.0	18.0	0.0035998	11.262061187037038	42.0	1428.0	49.467	1.022
glaucoma	MONDO_0005041	34375979	Rare	Categorical	Opthamological	Initial	Glaucoma	1.0	UKB	246781.0	34375979	43	4653,1280,11328,114785,26469,10325,200895,1544,219738,10267,414328,27065,4054,131920,57082,23352,390038,148979,1101,23052,125965,388701,2697,6095,283337,5068,80129,56606,780776,1413,163782,2701,29890,51686,79866,412,142940,643664,816,200909,55716,100820829,345462	0.056737	1.022	20371.0	11.0	0.00528732	8.81104437037037	43.0	1149.0	32.876	1.025
