Entrez	Gene Symbol	Ensembl ID	P-value
10804	GJB6	ENSG00000121742	4.86e-06
26227	PHGDH	ENSG00000092621	7.36e-06
23216	TBC1D1	ENSG00000065882	1.67e-05
9472	AKAP6	ENSG00000151320	2.09e-05
133	ADM	ENSG00000148926	2.22e-05
5265	SERPINA1	ENSG00000277377	3.03e-05
4646	MYO6	ENSG00000196586	4.68e-05
79815	NIPAL2	ENSG00000104361	5.12e-05
26281	FGF20	ENSG00000078579	5.78e-05
23678	SGK3	ENSG00000104205	5.83e-05
117245	PLAAT5	ENSG00000168004	7.11e-05
1716	DGUOK	ENSG00000114956	7.81e-05
2670	GFAP	ENSG00000131095	8.39e-05
51092	SIDT2	ENSG00000149577	8.69e-05
5083	PAX9	ENSG00000198807	9.13e-05
