Cosine_R,traitA,traitB,Cosine_C,Cosine
-0.018866646978009716,Alzheimer disease,Headache,0.22795956878507506,0.0040663353629992
0.31351047602460896,Headache,bipolar disorder,0.3009574812780059,0.12279483283693388
0.1906650876352261,Headache,schizophrenia,0.19168797461565817,0.009413143747237389
0.04225657486513373,Headache,migraine disorder,0.6556782472644187,-0.05928666372189812
0.19306266088286644,Headache,multiple sclerosis,0.15487143598392492,0.04324767702805862
0.07891687035115819,Alzheimer disease,Vertigo,-0.1989219638210104,-0.015789579095559506
0.2361896921613634,Vertigo,bipolar disorder,0.2797562349580506,0.11445920016435741
0.16597146272949465,Vertigo,schizophrenia,0.09931737456986825,0.03525585092119132
0.06940141747096498,Vertigo,migraine disorder,0.2696397999053111,-0.02267949532634948
0.20793595578848728,Vertigo,multiple sclerosis,-0.15771560179799526,-0.023909177278412255
0.07966256259172597,Alzheimer disease,bipolar disorder,0.09731573144218272,0.008760097619748233
-0.02553715683380293,Alzheimer disease,schizophrenia,-0.11422643663219259,0.0214982638280249
0.111868680042772,Alzheimer disease,migraine disorder,0.06001205120379266,0.0790099904352565
0.18978222227246216,Alzheimer disease,multiple sclerosis,0.4362991823481593,0.13111428564372002
0.33324355360971997,bipolar disorder,schizophrenia,0.4335360968493359,0.11531614432683371
-0.06720104752750844,bipolar disorder,migraine disorder,0.24032632943786458,-0.02345667073509336
-0.05269661342057984,bipolar disorder,multiple sclerosis,-0.020459293531090477,0.02437033769134901
0.04950876092688759,migraine disorder,schizophrenia,0.032498693886089385,-0.012462205623482308
-0.06839147371030338,multiple sclerosis,schizophrenia,-0.2151564064050864,0.03910780212287814
0.20323052747813222,migraine disorder,multiple sclerosis,0.1278114349970852,0.05942010106494928
