Trait	Log2SizeOE	-logCOLOC p	Test Annotation	Test	TraitC	TraitR	Repeat	SizeOE	Network
GO:0001763	0.0204962582242016	0.08634506491338	0.0	Relevance-GO			3.0	1.0143083215545214	PCNet2.0
GO:0001763	0.5467370494071062	11.809668301829708	0.25	Relevance-GO			1.0	1.4607781078054243	PCNet2.0
GO:0001763	0.5190455826429412	10.192194467729376	0.25	Relevance-GO			2.0	1.4330069262001435	PCNet2.0
GO:0001763	0.5539022704125387	13.382056565171029	0.25	Relevance-GO			3.0	1.4680511854279557	PCNet2.0
GO:0001763	1.5117593876500657	250.0	0.5	Relevance-GO			1.0	2.851575809903768	PCNet2.0
GO:0001763	1.2395242213092066	147.643591672961	0.5	Relevance-GO			2.0	2.3612065047651267	PCNet2.0
GO:0001763	1.6197048568679135	250.0	0.5	Relevance-GO			3.0	3.0731216063289692	PCNet2.0
GO:0001763	1.7730056420734648	250.0	0.75	Relevance-GO			1.0	3.417652329244172	PCNet2.0
GO:0001763	1.80586036099343	250.0	0.75	Relevance-GO			2.0	3.4963760496838683	PCNet2.0
GO:0001763	1.581620229120111	250.0	0.75	Relevance-GO			3.0	2.9930579859279267	PCNet2.0
GO:0001763	1.884322322754891	250.0	1.0	Relevance-GO			1.0	3.6917946885792543	PCNet2.0
GO:0001763	1.893129335177216	250.0	1.0	Relevance-GO			2.0	3.714400384031227	PCNet2.0
GO:0001763	1.89236803406261	250.0	1.0	Relevance-GO			3.0	3.7124408353369924	PCNet2.0
GO:0002064	-0.062860834655329	0.3184874133610378	0.0	Relevance-GO			1.0	0.9573638030319711	PCNet2.0
GO:0002064	-0.2965733283902199	2.3130064337353216	0.0	Relevance-GO			2.0	0.8141839412930527	PCNet2.0
GO:0002064	-0.2689678400337653	2.057644650292324	0.0	Relevance-GO			3.0	0.8299130854659584	PCNet2.0
GO:0002064	-0.2466648137837654	1.8999742698921367	0.25	Relevance-GO			1.0	0.8428426272341183	PCNet2.0
GO:0002064	0.2249592093019588	2.519274621011512	0.25	Relevance-GO			2.0	1.168744203070345	PCNet2.0
GO:0002064	0.390071464868477	7.224826614575213	0.25	Relevance-GO			3.0	1.3104583166840678	PCNet2.0
GO:0002064	0.8357937508948368	41.02004210665933	0.5	Relevance-GO			1.0	1.784838762397103	PCNet2.0
GO:0002064	0.4468568292417944	11.862962545210488	0.5	Relevance-GO			2.0	1.3630673319391784	PCNet2.0
GO:0002064	0.5086635001810819	16.50390100786743	0.5	Relevance-GO			3.0	1.4227315790681434	PCNet2.0
