GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34662886_EFO_0005091_GCST90025950_EFO_0005091	Skeletal Muscle	0	1	3.89556243550052	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Skin	0	0	0	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Small Intestine	0	0	0	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Smooth Muscle	0	0	0	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Spleen	2.85772449927914	4	16.5018579234973	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Stomach	0	0	0	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Testis	0	0	0	10	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Thyroid Gland	0	0	0	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Tonsil	1.21739666315628	2	14.2984848484848	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Urinary Bladder	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Adipose Tissue	0	1	7.32686335403727	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Adrenal Gland	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Appendix	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Bone Marrow	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Breast	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Cerebral Cortex	0	1	0.805204778156997	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Cervix, uterine	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Colon	0	0	0	13	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Duodenum	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Endometrium	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Esophagus	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Fallopian Tube	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Gallbladder	0	1	8.19184027777778	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Heart Muscle	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Kidney	0	1	3.50037091988131	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Liver	3.16708200865901	5	13.9765995260664	10	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Lung	0	0	0	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Lymph Node	0	1	4.68105158730159	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Ovary	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Pancreas	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Placenta	0	1	3.27673611111111	8	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Prostate	0	0	0	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Rectum	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Salivary Gland	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Seminal Vesicle	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Skeletal Muscle	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Skin	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Small Intestine	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Smooth Muscle	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Spleen	0	1	3.86762295081967	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Stomach	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Testis	0	1	0.553554669169404	10	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Thyroid Gland	0	1	4.55453667953668	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Tonsil	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Urinary Bladder	0	0	0	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Adipose Tissue	9.24813079734083	8	36.0707118967989	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Adrenal Gland	0.0551450191517007	1	2.869261173609	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Appendix	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Bone Marrow	0	0	0	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Breast	0	0	0	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Cerebral Cortex	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Cervix, uterine	0	0	0	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Colon	0.0551450191517007	1	4.62371386575208	13	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Duodenum	2.00469545154905	4	9.13110788582487	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Endometrium	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Esophagus	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Fallopian Tube	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Gallbladder	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Heart Muscle	0.0551450191517007	1	3.57597574838954	4	0
