	log2COLOC_norm	log2COLOC	Prediction	Residual
19847924_EFO_0001645_GCST010866_EFO_0001645	0.2156019656019656	0.1149385818621201	0.23204546344826915	-0.016443497846303556
19847924_EFO_0001645_GCST011488_EFO_0001645	0.14312039312039312	-0.1147470536499246	0.223241021434814	-0.08012062831442088
19847924_EFO_0001645_GCST90132305_EFO_0001645	0.2678132678132678	0.2572354971654881	0.15048459485259513	0.11732867296067268
19847924_EFO_0001645_GCST90446534_EFO_0001645	0.14619164619164618	-0.107372049816847	0.2340680430226637	-0.08787639683101753
19847924_EFO_0001645_GCST90449059_EFO_0001645	0.18734643734643736	0.020130186305705	0.23495313225613934	-0.047606694909701985
20549515_EFO_0000384_GCST004132_EFO_0000384	0.7727272727272727	1.680590370142003	0.5239939344152733	0.2487333383119994
20549515_EFO_0000384_GCST90020071_EFO_0000384	0.2966830466830467	0.3438665982739377	0.2636371770306688	0.03304586965237788
20549515_EFO_0000384_GCST90301327_EFO_0000384	0.6363636363636364	1.372691208569249	0.6364048789928893	-4.1242629252979945e-05
20549515_EFO_0000384_GCST90319897_EFO_0000384	0.6934889434889435	1.5086628267119908	0.6413044325975473	0.052184510891396196
20549515_EFO_0000384_GCST90446792_EFO_0000384	0.8323095823095822	1.7888057048982338	0.5179744486294373	0.3143351336801449
20549515_EFO_0000685_GCST90013534_EFO_0000685	0.5792383292383292	1.2048556925736116	0.3606215252207794	0.2186168040175498
20549515_EFO_0000685_GCST90018910_EFO_0000685	0.542997542997543	1.0651345786405475	0.32305032929110455	0.21994721370643844
20549515_EFO_0000685_GCST90131437_EFO_0000685	0.6234643734643734	1.3437691434269443	0.3369083617258447	0.28655601173852874
20549515_EFO_0000685_GCST90132222_EFO_0000685	0.6228501228501229	1.343441501498999	0.5386957120009844	0.08415441084913844
20549515_EFO_0000685_GCST90446530_EFO_0000685	0.426904176904177	0.7540455598739547	0.3280127483190364	0.0988914285851406
20549515_EFO_0001645_GCST010866_EFO_0001645	0.31142506142506143	0.3908689481191704	0.23550647894221222	0.07591858248284922
20549515_EFO_0001645_GCST011488_EFO_0001645	0.23464373464373475	0.1642466891997972	0.23553249314646252	-0.0008887585027277656
20549515_EFO_0001645_GCST90132305_EFO_0001645	0.2162162162162162	0.1153923113040652	0.15488532357352286	0.06133089264269334
20549515_EFO_0001645_GCST90446534_EFO_0001645	0.27211302211302213	0.2706733204217528	0.24463033190175987	0.027482690211262262
20549515_EFO_0001645_GCST90449059_EFO_0001645	0.27702702702702703	0.2871335585861445	0.2409502544741826	0.036076772552844416
20549515_MONDO_0005148_GCST006867_MONDO_0005148	0.41646191646191644	0.7225055827806754	0.3032913318649826	0.11317058459693385
20549515_MONDO_0005148_GCST90018926_MONDO_0005148	0.40909090909090906	0.6992579938174249	0.2956657618881071	0.11342514720280195
20549515_MONDO_0005148_GCST90100587_MONDO_0005148	0.34459459459459457	0.5162476704736991	0.1567033891951497	0.18789120539944487
20549515_MONDO_0005148_GCST90132184_MONDO_0005148	0.39496314496314494	0.6599641136298551	0.30544050578200443	0.0895226391811405
20549515_MONDO_0005148_GCST90444202_MONDO_0005148	0.3617936117936118	0.5611927447678998	0.2950689243244261	0.0667246874691857
21738570_EFO_0000384_GCST004132_EFO_0000384	0.6947174447174447	1.5138661076543152	0.6742239158094103	0.020493528908034353
21738570_EFO_0000384_GCST90020071_EFO_0000384	0.26842751842751844	0.2596991231879197	0.29861837332003227	-0.03019085489251383
21738570_EFO_0000384_GCST90301327_EFO_0000384	0.5540540540540541	1.101921724485037	0.706428188551275	-0.15237413449722093
21738570_EFO_0000384_GCST90319897_EFO_0000384	0.6848894348894349	1.4919203877796223	0.7630468609115879	-0.07815742602215303
21738570_EFO_0000384_GCST90446792_EFO_0000384	0.7420147420147422	1.627625673437859	0.645421285399137	0.09659345661560514
24151499_EFO_0003756_GCST003130_EFO_0003756	0.02886977886977887	-0.6298079288164988	0.2730854187934535	-0.24421563992367462
24151499_EFO_0003756_GCST007556_EFO_0003756	0.4318181818181818	0.7714348155172853	0.26552024322645806	0.16629793859172376
24151499_EFO_0003756_GCST010515_EFO_0003756	0.5024570024570024	0.9643016996208033	0.25401782158224956	0.24843918087475286
24151499_EFO_0003756_GCST010643_EFO_0003756	0.5976658476658485	1.2576056722746556	0.23747317637467968	0.36019267129116883
24151499_EFO_0003756_GCST012466_EFO_0003756	0.09336609336609338	-0.2787233122222203	0.24848421387200165	-0.15511812050590829
24212883_EFO_0000676_GCST002738_EFO_0000676	0.5565110565110565	1.124009360381029	0.6833828128263015	-0.12687175631524505
24212883_EFO_0000676_GCST002874_EFO_0000676	0.6044226044226044	1.2739982175282378	0.38095144429660965	0.22347116012599477
24212883_EFO_0000676_GCST004346_EFO_0000676	0.6486486486486487	1.3953092308724842	0.7313173707321393	-0.08266872208349063
24212883_EFO_0000676_GCST90435379_EFO_0000676	0.4416461916461916	0.7950090644725759	0.30825282452127084	0.13339336712492078
24212883_EFO_0000676_GCST90435380_EFO_0000676	0.2457002457002457	0.1925988508045339	0.3351936367455833	-0.08949339104533757
24507775_EFO_0001645_GCST010866_EFO_0001645	0.36363636363636365	0.5653733995403281	0.3918363177355051	-0.028199954099141444
24507775_EFO_0001645_GCST011488_EFO_0001645	0.5571253071253071	1.1241200352737986	0.3977272589771976	0.15939804814810948
24507775_EFO_0001645_GCST90132305_EFO_0001645	0.3187960687960688	0.4181111220745361	0.35288175830489366	-0.034085689508824846
24507775_EFO_0001645_GCST90446534_EFO_0001645	0.7285012285012284	1.60294902835523	0.6442657466693402	0.08423548183188823
24507775_EFO_0001645_GCST90449059_EFO_0001645	0.6394348894348895	1.3781385100591752	0.6489093237706739	-0.009474434335784432
25187575_EFO_0000319_GCST007072_EFO_0000319	0.40786240786244404	0.6978670895256054	0.44943219880485524	-0.0415697909424112
25187575_EFO_0000319_GCST90446535_EFO_0000319	0.5995085995085995	1.258757550174663	0.5811689011049929	0.018339698403606608
25583502_EFO_0004340_GCST008158_EFO_0004340	0.3906633906633907	0.6422942120397515	0.35574106247591847	0.03492232818747221
25583502_EFO_0004340_GCST90103755_EFO_0004340	0.2536855036855037	0.2168770989022475	0.34291801380028375	-0.08923251011478006
25583502_EFO_0004340_GCST90179150_EFO_0004340	0.3488943488943489	0.5323820630617826	0.4537062187847197	-0.10481186989037078
25583502_EFO_0004340_GCST90255621_EFO_0004340	0.37223587223587223	0.5892306469776565	0.46402143258895506	-0.09178556035308283
25583502_EFO_0004340_GCST90446645_EFO_0004340	0.4004914004914005	0.6776013551265812	0.4218908827327875	-0.021399482241387047
26394601_MONDO_0004975_GCST009021_MONDO_0004975	0.5147420147420148	0.9945742587261156	0.6554620174426099	-0.14072000270059515
26394601_MONDO_0004975_GCST90038452_MONDO_0004975	0.21253071253071254	0.0977512169127164	0.3020019228840941	-0.08947121035338157
26394601_MONDO_0004975_GCST90301303_MONDO_0004975	0.5042997542997543	0.9696153212200438	0.551334172470929	-0.04703441817117471
26394601_MONDO_0004975_GCST90399479_MONDO_0004975	0.5006142506142507	0.9619714315904576	0.5361755769607658	-0.0355613263465151
26736064_EFO_0000341_GCST007692_EFO_0000341	0.3286240786240786	0.4540159461023775	0.2737237144428356	0.054900364181243
26736064_EFO_0000341_GCST90018587_EFO_0000341	0.04606879606879607	-0.4762630454249262	0.23200773284101806	-0.18593893677222198
26736064_EFO_0000341_GCST90018807_EFO_0000341	0.1504914004914005	-0.0877358574440612	0.2602272820978466	-0.10973588160644612
26736064_EFO_0000341_GCST90103985_EFO_0000341	0.3464373464373464	0.5227458528056327	0.28306651415717976	0.06337083228016666
26736064_EFO_0000341_GCST90399695_EFO_0000341	0.46621621621621623	0.8646753530606838	0.2982013851531642	0.16801483106305204
27646141_EFO_0004340_GCST008158_EFO_0004340	0.3574938574938578	0.5520352151200725	0.3224000660977516	0.03509379139610619
27646141_EFO_0004340_GCST90103755_EFO_0004340	0.20331695331695332	0.0715688070425594	0.3270561500381828	-0.12373919672122946
27646141_EFO_0004340_GCST90179150_EFO_0004340	0.2751842751842752	0.2844560167566412	0.4213297086866671	-0.1461454335023919
27646141_EFO_0004340_GCST90255621_EFO_0004340	0.23771498771498772	0.1722612527705408	0.4284668342472342	-0.19075184653224647
27646141_EFO_0004340_GCST90446645_EFO_0004340	0.2819410319410319	0.3076610992440295	0.387539285910446	-0.10559825396941408
27980654_EFO_0006336_GCST001228_EFO_0006336	0.030712530712530713	-0.6171553593469015	0.20354396672436725	-0.17283143601183654
27980654_EFO_0006336_GCST012378_EFO_0006336	0.013513513513513513	-0.8317500978901994	0.24086433379824745	-0.22735082028473394
27980654_EFO_0006336_GCST90018952_EFO_0006336	0.18304668304668303	0.0051123118123819	0.28764448200034376	-0.10459779895366073
27980654_EFO_0006336_GCST90132904_EFO_0006336	0.1984029484029484	0.050075598566798	0.32569060869070304	-0.12728766028775465
27980654_EFO_0006336_GCST90310295_EFO_0006336	0.20884520884520885	0.092555515835578	0.3698354095397469	-0.16099020069453807
28089252_EFO_0004833_GCST004629_EFO_0004833	0.48034398034398024	0.90500249717841	0.38322109094040063	0.0971228894035796
28089252_EFO_0004833_GCST90002355_EFO_0004833	0.535012285012285	1.0480666585692129	0.40815523218204497	0.12685705283024007
28089252_EFO_0004833_GCST90018968_EFO_0004833	0.41584766584766586	0.720523593564004	0.40272354064800553	0.01312412519966033
28089252_EFO_0004833_GCST90025977_EFO_0004833	0.6443488943488943	1.387721651712381	0.3938324408860801	0.2505164534628142
28089252_EFO_0004833_GCST90448621_EFO_0004833	0.17874692874692927	-0.0057006171882239	0.39645677567846194	-0.21770984693153267
28089252_EFO_0006925_GCST003127_EFO_0006925	0.8746928746928747	1.8793711311232937	0.44718768283023236	0.42750519186264235
28089252_EFO_0006925_GCST004398_EFO_0006925	0.9975429975429975	2.504193094211695	0.905084372004056	0.09245862553894146
28089252_EFO_0006925_GCST012232_EFO_0006925	0.769041769041769	1.6745110279560276	0.45553352894477517	0.31350824009699385
28089252_EFO_0006925_GCST90019513_EFO_0006925	0.9490171990171989	2.076549861912889	0.8547271348673844	0.09429006414981456
28089252_EFO_0006925_GCST90025993_EFO_0006925	0.9232186732186684	1.9727438961142807	0.43525756623042233	0.487961106988246
28195573_MONDO_0004985_GCST004139_MONDO_0004985	0.32923832923832924	0.4584960131607687	0.25674608054300796	0.07249224869532128
28195573_MONDO_0004985_GCST008103_MONDO_0004985	0.4963144963144963	0.9591856831239228	0.3464331425497648	0.1498813537647315
28195573_MONDO_0004985_GCST011102_MONDO_0004985	0.5337837837837838	1.0427777640156164	0.31400916367727605	0.21977462010650772
28195573_MONDO_0004985_GCST011767_MONDO_0004985	0.10442260442260443	-0.2382168024603811	0.2486829168768071	-0.14426031245420268
28195573_MONDO_0004985_GCST012465_MONDO_0004985	0.5184275184275184	1.0098123493853604	0.3236534948052653	0.19477402362225316
28539126_MONDO_0004975_GCST009021_MONDO_0004975	0.3980343980343978	0.6659821000290684	0.3496782575587877	0.0483561404756101
28539126_MONDO_0004975_GCST90038452_MONDO_0004975	0.2764127764127764	0.2856702606661989	0.32667519827664454	-0.050262421863868145
28539126_MONDO_0004975_GCST90301303_MONDO_0004975	0.523955773955774	1.028524055830962	0.3650803976114302	0.1588753763443438
28539126_MONDO_0004975_GCST90399479_MONDO_0004975	0.5307125307125307	1.0380760280946102	0.3678372492567574	0.16287528145577324
28642624_EFO_0001645_GCST010866_EFO_0001645	0.07985257985257985	-0.3286970268930358	0.2540630032526002	-0.17421042340002033
28642624_EFO_0001645_GCST011488_EFO_0001645	0.16216216216216217	-0.0429228977665203	0.22317493839807523	-0.06101277623591306
28642624_EFO_0001645_GCST90132305_EFO_0001645	0.2254299754299752	0.1424705709409755	0.1884041430823057	0.03702583234766951
28642624_EFO_0001645_GCST90446534_EFO_0001645	0.014127764127764134	-0.8022412025594863	0.25458511469617695	-0.24045735056841283
28642624_EFO_0001645_GCST90449059_EFO_0001645	0.0171990171990172	-0.7511448961825821	0.25629902919284453	-0.23910001199382733
28900119_EFO_0001065_GCST003819_EFO_0001065	0.03501228501228501	-0.568001419531515	0.11598445556629078	-0.08097217055400577
28900119_EFO_0001065_GCST004549_EFO_0001065	0.06203931203931204	-0.4029514892140217	0.19999270180246687	-0.13795338976315483
28900119_EFO_0001065_GCST004873_EFO_0001065	0.21867321867321876	0.1213326763578128	0.4351775230186373	-0.21650430434541856
28900119_EFO_0001065_GCST90018839_EFO_0001065	0.4404176904176904	0.7906227777658159	0.20648462490194397	0.23393306551574644
28900119_EFO_0001065_GCST90258638_EFO_0001065	0.22297297297297297	0.1397230335408827	0.19858604546721131	0.024386927505761657
29185836_GO_0070527_GCST000693_GO_0070527	0.23648648648648649	0.1670880299585863	0.30634497542707406	-0.06985848894058758
29273807_EFO_0001073_GCST000426_EFO_0001073	0.38759213759213756	0.6291874812942408	0.18556255382537618	0.2020295837667614
29273807_EFO_0001073_GCST001057_EFO_0001073	0.3746928746928747	0.5998558579785261	0.22742242028918158	0.14727045440369313
29273807_EFO_0001073_GCST007241_EFO_0001073	0.5	0.9614077416367685	0.2892970828883893	0.2107029171116107
29273807_EFO_0001073_GCST009382_EFO_0001073	0.5036855036855037	0.9672396162616907	0.2629892613022544	0.24069624238324927
29273807_EFO_0001073_GCST009700_EFO_0001073	0.355036855036855	0.5423989737372227	0.21689143746096207	0.13814541757589294
30140000_EFO_0004611_GCST90002412_EFO_0004611	0.6468058968058967	1.3929552913969008	0.44942743980355376	0.19737845700234297
