Entrez	Gene Symbol	P-value	Beta
56934	CA10	1e-08	1.78
1767	DNAH5	5e-07	2.4803
10725	NFAT5	1e-06	0.5813
288	ANK3	2e-06	1.7874
8671	SLC4A4	3e-06	3.8017
196951	FAM227B	3e-06	0.2631
5818	NECTIN1	3e-06	0.8714
51167	CYB5R4	4e-06	0.9802
27065	NSG1	5e-06	1.6047
155185	AMZ1	5e-06	2.9744
776	CACNA1D	5e-06	0.2299
3784	KCNQ1	5e-06	0.3123
9890	PLPPR4	5e-06	0.2629
8821	INPP4B	6e-06	2.0633
3084	NRG1	7e-06	0.8773
375298	CERKL	8e-06	2.0782
6536	SLC6A9	8e-06	0.5421
9515	STXBP5L	9e-06	1.8666
91522	COL23A1	9e-06	2.753
