GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34662886_EFO_0007805_GCST90025956_EFO_0007805	Cerebral Cortex	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Cervix, uterine	0	0	0	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Colon	0	0	0	13	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Duodenum	1.09059532630997	3	7.1222641509434	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Endometrium	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Esophagus	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Fallopian Tube	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Gallbladder	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Heart Muscle	0	1	3.71901477832512	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Kidney	0	0	0	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Liver	8.6232228894178	10	17.8900473933649	10	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Lung	0	0	0	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Lymph Node	0	1	2.99587301587302	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Ovary	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Pancreas	0	0	0	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Placenta	1.09059532630997	3	6.29133333333333	8	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Prostate	0	0	0	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Rectum	0	0	0	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Salivary Gland	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Seminal Vesicle	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Skeletal Muscle	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Skin	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Small Intestine	1.09059532630997	3	6.66141176470588	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Smooth Muscle	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Spleen	0	1	2.47527868852459	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Stomach	0	0	0	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Testis	0	0	0	10	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Thyroid Gland	0	1	2.91490347490348	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Tonsil	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Urinary Bladder	0	0	0	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Adipose Tissue	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Adrenal Gland	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Appendix	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Bone Marrow	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Breast	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Cerebral Cortex	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Cervix, uterine	0	0	0	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Colon	0	0	0	13	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Duodenum	0	0	0	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Endometrium	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Esophagus	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Fallopian Tube	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Gallbladder	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Heart Muscle	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Kidney	2.71604294772452	3	33.6035608308605	9	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Liver	0	0	0	10	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Lung	0	0	0	9	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Lymph Node	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Ovary	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Pancreas	0	0	0	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Placenta	0	0	0	8	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Prostate	0	0	0	9	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Rectum	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Salivary Gland	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Seminal Vesicle	0.10619766241013	1	21.946511627907	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Skeletal Muscle	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Skin	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Small Intestine	0	1	11.1023529411765	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Smooth Muscle	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Spleen	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Stomach	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Testis	0	0	0	10	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Thyroid Gland	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Tonsil	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Urinary Bladder	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Adipose Tissue	0.354662410343541	2	8.0848147354894	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Adrenal Gland	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Appendix	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Bone Marrow	5.14466706846312	7	15.8738435660219	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Breast	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Cerebral Cortex	0	1	0.444250912086619	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Cervix, uterine	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Colon	0	1	4.14539863826049	13	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Duodenum	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Endometrium	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Esophagus	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Fallopian Tube	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Gallbladder	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Heart Muscle	0	1	3.20604722269407	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Kidney	0	1	1.93123912821038	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Liver	0	1	1.54224546494525	10	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Lung	0	0	0	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Lymph Node	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Ovary	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Pancreas	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Placenta	0	1	1.80785440613027	8	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Prostate	0	0	0	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Rectum	0	1	3.873973727422	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Salivary Gland	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Seminal Vesicle	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Skeletal Muscle	0	2	4.02989217465571	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Skin	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Small Intestine	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Smooth Muscle	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Spleen	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Stomach	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Testis	0	0	0	10	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Thyroid Gland	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Tonsil	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Urinary Bladder	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Adipose Tissue	0	1	4.88457556935818	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Adrenal Gland	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Appendix	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Bone Marrow	3.03550697816766	5	13.7006387921022	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Breast	0	0	0	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Cerebral Cortex	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Cervix, uterine	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Colon	0	0	0	13	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Duodenum	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Endometrium	0	0	0	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Esophagus	0	1	3.13313413014608	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Fallopian Tube	0	0	0	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Gallbladder	0	0	0	3	0
