Entrez	Gene Symbol	P-value	Beta
6775	STAT4	1e-43	1.14
4026	LPP	1e-41	1.12
60468	BACH2	8e-41	1.15
221178	SPATA13	4.999999999999999e-32	1.1
7173	TPO	4.999999999999999e-32	1.1
8635	RNASET2	3e-30	1.1
114904	C1QTNF6	1.9999999999999997e-28	1.09
969	CD69	4e-27	1.1
7038	TG	1e-22	1.08
10846	PDE10A	3e-20	1.08
150280	HORMAD2	4e-19	1.07
10783	NEK6	6e-19	1.08
84159	ARID5B	8e-17	1.09
7297	TYK2	9e-17	1.2
8764	TNFRSF14	1e-16	1.1
9744	ACAP1	1e-16	1.08
9159	PCSK7	2e-16	1.14
2322	FLT3	3e-16	1.35
90355	MACIR	5e-16	1.07
126129	CPT1C	2e-15	1.07
7098	TLR3	2e-15	1.07
10125	RASGRP1	8e-15	1.07
3633	INPP5B	3e-14	1.06
53347	UBASH3A	2e-12	1.06
57661	PHRF1	3e-12	1.06
3662	IRF4	4e-12	1.06
27161	AGO2	8e-12	1.06
8553	BHLHE40	2e-11	1.07
10666	CD226	4e-11	1.05
440574	MICOS10	4e-11	1.05
5878	RAB5C	4e-11	1.07
5890	RAD51B	6e-11	1.06
128178	EDARADD	1e-10	1.05
4914	NTRK1	1e-10	1.05
7042	TGFB2	1e-10	1.05
23505	TMEM131	1e-10	1.28
84071	ARMC2	1e-10	1.08
23534	TNPO3	2e-10	1.1
29941	PKN3	4e-10	1.08
921	CD5	5e-10	1.05
3595	IL12RB2	5e-10	1.09
145508	CEP128	6e-10	1.06
57538	ALPK3	6e-10	1.05
7133	TNFRSF1B	7e-10	1.06
919	CD247	7e-10	1.05
3705	ITPK1	8e-10	1.06
55647	RAB20	9e-10	1.06
2308	FOXO1	1e-09	1.06
64771	ILRUN	1e-09	1.08
22806	IKZF3	1e-09	1.13
2289	FKBP5	2e-09	1.05
169792	GLIS3	2e-09	1.05
11177	BAZ1A	3e-09	1.07
4522	MTHFD1	5e-09	1.07
221937	FOXK1	5e-09	1.05
57580	PREX1	6e-09	1.07
6721	SREBF2	8e-09	1.24
63892	THADA	8e-09	1.05
9736	USP34	9e-09	1.05
5782	PTPN12	1e-08	1.05
283234	CCDC88B	1e-08	1.05
3716	JAK1	2e-08	1.07
4772	NFATC1	2e-08	1.07
337867	UBAC2	2e-08	1.05
59338	PLEKHA1	2e-08	1.05
814	CAMK4	2e-08	1.1
28996	HIPK2	4e-08	1.06
