Entrez	n_GO_CC	n_GO_MF	n_GO_BP	n_GO
9130	2.0	2.0	5.0	9.0
9131	7.0	8.0	19.0	34.0
9132	3.0	3.0	5.0	11.0
9133	7.0	3.0	9.0	19.0
9134	7.0	3.0	7.0	17.0
9135	7.0	5.0	8.0	20.0
9136	4.0	4.0	1.0	9.0
9138	3.0	5.0	3.0	11.0
9139	1.0	3.0	7.0	11.0
9140	9.0	1.0	11.0	21.0
9141	4.0	5.0	9.0	18.0
9143	4.0	2.0	4.0	10.0
9144	5.0	1.0	2.0	8.0
9145	5.0	1.0	6.0	12.0
9146	9.0	6.0	20.0	35.0
9147	3.0	2.0	5.0	10.0
9148	6.0	4.0	17.0	27.0
9149	4.0	8.0	8.0	20.0
9150	10.0	6.0	6.0	22.0
9152	6.0	2.0	5.0	13.0
9153	6.0	7.0	15.0	28.0
9154	5.0	7.0	9.0	21.0
9156	4.0	12.0	9.0	25.0
9158	5.0	1.0	2.0	8.0
9159	3.0	3.0	2.0	8.0
9162	11.0	4.0	6.0	21.0
9166	2.0	2.0	4.0	8.0
9167	5.0	1.0	4.0	10.0
9168	2.0	2.0	3.0	7.0
9169	3.0	3.0	4.0	10.0
9170	5.0	5.0	5.0	15.0
9172	3.0	3.0	2.0	8.0
9173	5.0	6.0	11.0	22.0
9175	2.0	13.0	11.0	26.0
9177	6.0	2.0	7.0	15.0
9179	9.0	3.0	11.0	23.0
9180	5.0	6.0	5.0	16.0
9181	12.0	5.0	23.0	40.0
9182	5.0	1.0	4.0	10.0
9183	11.0	2.0	13.0	26.0
9184	5.0	2.0	6.0	13.0
9185	3.0	2.0	4.0	9.0
9187	5.0	4.0	11.0	20.0
9188	7.0	11.0	14.0	32.0
9189	6.0	13.0	7.0	26.0
9191	2.0	2.0	6.0	10.0
9194	4.0	7.0	4.0	15.0
9196	3.0	5.0	3.0	11.0
9197	4.0	2.0	3.0	9.0
9200	1.0	4.0	4.0	9.0
9201	2.0	5.0	15.0	22.0
9202	0.0	3.0	2.0	5.0
9203	1.0	3.0	2.0	6.0
9204	1.0	2.0	2.0	5.0
9205	1.0	2.0	1.0	4.0
9208	5.0	8.0	2.0	15.0
9209	1.0	2.0	3.0	6.0
9210	2.0	2.0	4.0	8.0
9211	9.0	2.0	6.0	17.0
9212	15.0	7.0	37.0	59.0
9213	3.0	4.0	6.0	13.0
9214	2.0	1.0	3.0	6.0
9215	2.0	7.0	9.0	18.0
9217	5.0	8.0	9.0	22.0
9218	11.0	6.0	14.0	31.0
9219	9.0	9.0	12.0	30.0
9221	7.0	14.0	11.0	32.0
9223	10.0	3.0	5.0	18.0
9227	5.0	7.0	9.0	21.0
9228	5.0	2.0	2.0	9.0
9229	5.0	3.0	2.0	10.0
9230	9.0	7.0	13.0	29.0
9231	7.0	4.0	25.0	36.0
9232	3.0	4.0	5.0	12.0
9235	3.0	2.0	4.0	9.0
9236	1.0	2.0	5.0	8.0
9238	3.0	2.0	6.0	11.0
9240	4.0	1.0	2.0	7.0
9241	3.0	3.0	68.0	74.0
9242	3.0	8.0	9.0	20.0
9244	6.0	5.0	6.0	17.0
9245	3.0	5.0	6.0	14.0
9246	5.0	6.0	5.0	16.0
9247	2.0	8.0	7.0	17.0
9248	2.0	3.0	2.0	7.0
9249	3.0	4.0	10.0	17.0
9252	3.0	9.0	14.0	26.0
9253	1.0	1.0	8.0	10.0
9254	2.0	2.0	2.0	6.0
9255	8.0	5.0	9.0	22.0
9256	5.0	3.0	2.0	10.0
9258	1.0	4.0	15.0	20.0
9260	9.0	4.0	7.0	20.0
9261	6.0	9.0	24.0	39.0
9262	4.0	4.0	6.0	14.0
9263	3.0	3.0	6.0	12.0
9265	8.0	3.0	4.0	15.0
9266	8.0	4.0	3.0	15.0
9267	7.0	3.0	4.0	14.0
9270	13.0	4.0	39.0	56.0
9271	5.0	9.0	9.0	23.0
9274	3.0	0.0	11.0	14.0
9275	3.0	2.0	14.0	19.0
9276	5.0	2.0	5.0	12.0
9277	3.0	1.0	1.0	5.0
9278	2.0	6.0	1.0	9.0
9282	5.0	5.0	7.0	17.0
9283	4.0	5.0	10.0	19.0
9284	3.0	0.0	2.0	5.0
9287	1.0	2.0	1.0	4.0
9288	1.0	2.0	2.0	5.0
9289	5.0	5.0	22.0	32.0
9290	1.0	2.0	8.0	11.0
9293	1.0	3.0	5.0	9.0
9294	2.0	7.0	11.0	20.0
9295	3.0	2.0	2.0	7.0
9296	9.0	4.0	7.0	20.0
9297	1.0	0.0	1.0	2.0
9298	1.0	0.0	1.0	2.0
9299	1.0	0.0	1.0	2.0
9300	1.0	0.0	1.0	2.0
9301	1.0	0.0	1.0	2.0
9302	1.0	0.0	1.0	2.0
9304	1.0	0.0	1.0	2.0
9306	4.0	2.0	9.0	15.0
9308	2.0	1.0	9.0	12.0
9310	1.0	2.0	1.0	4.0
9311	2.0	4.0	11.0	17.0
9312	6.0	2.0	6.0	14.0
9313	3.0	3.0	7.0	13.0
9314	6.0	13.0	46.0	65.0
9315	2.0	1.0	3.0	6.0
9317	1.0	4.0	2.0	7.0
9318	5.0	2.0	11.0	18.0
9319	3.0	5.0	12.0	20.0
9320	4.0	3.0	10.0	17.0
9321	9.0	3.0	11.0	23.0
9322	12.0	3.0	4.0	19.0
9324	4.0	4.0	2.0	10.0
9325	9.0	9.0	8.0	26.0
9326	3.0	3.0	4.0	10.0
9328	2.0	5.0	5.0	12.0
9329	3.0	5.0	5.0	13.0
9330	4.0	3.0	3.0	10.0
9331	2.0	3.0	8.0	13.0
9332	5.0	3.0	2.0	10.0
9333	2.0	3.0	3.0	8.0
9334	2.0	4.0	11.0	17.0
9337	5.0	5.0	6.0	16.0
9338	2.0	1.0	0.0	3.0
9340	2.0	3.0	4.0	9.0
9341	18.0	3.0	14.0	35.0
9342	11.0	3.0	9.0	23.0
9343	11.0	5.0	3.0	19.0
9344	12.0	10.0	21.0	43.0
9348	3.0	3.0	3.0	9.0
9349	12.0	7.0	14.0	33.0
9350	2.0	4.0	18.0	24.0
9351	6.0	9.0	2.0	17.0
9352	4.0	2.0	0.0	6.0
9353	5.0	9.0	38.0	52.0
9354	3.0	2.0	3.0	8.0
9355	2.0	7.0	19.0	28.0
9356	6.0	7.0	10.0	23.0
9358	5.0	1.0	5.0	11.0
9360	6.0	4.0	3.0	13.0
9361	6.0	15.0	14.0	35.0
9362	8.0	4.0	4.0	16.0
9363	4.0	3.0	2.0	9.0
9364	5.0	4.0	2.0	11.0
9365	4.0	6.0	13.0	23.0
9367	12.0	4.0	6.0	22.0
9368	18.0	18.0	44.0	80.0
9369	1.0	4.0	6.0	11.0
9370	6.0	8.0	73.0	87.0
9371	17.0	8.0	13.0	38.0
9372	5.0	4.0	3.0	12.0
9373	4.0	3.0	15.0	22.0
9374	4.0	2.0	2.0	8.0
9375	7.0	0.0	4.0	11.0
9376	4.0	4.0	5.0	13.0
9377	2.0	4.0	3.0	9.0
9378	9.0	7.0	19.0	35.0
9379	4.0	5.0	14.0	23.0
9380	5.0	8.0	3.0	16.0
9381	8.0	2.0	4.0	14.0
9382	4.0	1.0	5.0	10.0
9383	1.0	1.0	1.0	3.0
9388	5.0	8.0	12.0	25.0
9389	3.0	2.0	4.0	9.0
9390	5.0	2.0	6.0	13.0
9391	3.0	1.0	5.0	9.0
9392	5.0	3.0	8.0	16.0
9394	2.0	3.0	5.0	10.0
9397	6.0	3.0	3.0	12.0
9398	3.0	1.0	2.0	6.0
9399	4.0	2.0	2.0	8.0
9400	7.0	10.0	15.0	32.0
9401	6.0	9.0	7.0	22.0
9402	6.0	2.0	4.0	12.0
9403	1.0	4.0	3.0	8.0
9404	10.0	3.0	10.0	23.0
9406	1.0	4.0	2.0	7.0
9407	3.0	3.0	2.0	8.0
9409	6.0	1.0	8.0	15.0
9410	9.0	2.0	4.0	15.0
9411	3.0	3.0	3.0	9.0
9412	3.0	4.0	7.0	14.0
9413	5.0	3.0	5.0	13.0
9414	7.0	7.0	11.0	25.0
9415	3.0	3.0	4.0	10.0
9416	8.0	5.0	5.0	18.0
9419	8.0	5.0	5.0	18.0
9420	1.0	6.0	10.0	17.0
9421	6.0	13.0	22.0	41.0
9422	1.0	3.0	1.0	5.0
9423	5.0	3.0	19.0	27.0
9424	2.0	2.0	6.0	10.0
9425	4.0	6.0	5.0	15.0
9426	1.0	2.0	3.0	6.0
9427	1.0	3.0	3.0	7.0
9429	7.0	12.0	13.0	32.0
9435	5.0	2.0	6.0	13.0
9436	2.0	3.0	2.0	7.0
9437	2.0	1.0	4.0	7.0
9439	5.0	2.0	7.0	14.0
9440	7.0	7.0	9.0	23.0
9441	4.0	3.0	6.0	13.0
9442	8.0	3.0	7.0	18.0
9443	7.0	3.0	7.0	17.0
9444	3.0	4.0	11.0	18.0
9445	11.0	3.0	2.0	16.0
9446	3.0	5.0	10.0	18.0
9447	6.0	6.0	25.0	37.0
9448	2.0	6.0	14.0	22.0
9450	1.0	1.0	4.0	6.0
9451	6.0	10.0	33.0	49.0
9452	2.0	2.0	2.0	6.0
9453	5.0	7.0	5.0	17.0
9454	8.0	4.0	6.0	18.0
9455	9.0	4.0	8.0	21.0
9456	16.0	8.0	20.0	44.0
9457	2.0	3.0	1.0	6.0
9459	4.0	3.0	3.0	10.0
9462	1.0	2.0	8.0	11.0
9463	14.0	11.0	19.0	44.0
9464	4.0	11.0	45.0	60.0
9465	4.0	5.0	3.0	12.0
9466	3.0	4.0	15.0	22.0
9467	5.0	4.0	3.0	12.0
9468	3.0	2.0	4.0	9.0
9469	1.0	3.0	5.0	9.0
9470	5.0	7.0	3.0	15.0
9472	10.0	7.0	15.0	32.0
9473	2.0	1.0	4.0	7.0
9474	12.0	2.0	43.0	57.0
9475	7.0	11.0	60.0	78.0
9476	5.0	4.0	3.0	12.0
9477	4.0	3.0	7.0	14.0
9478	8.0	6.0	4.0	18.0
9479	11.0	5.0	9.0	25.0
9480	4.0	4.0	14.0	22.0
9481	3.0	1.0	2.0	6.0
9482	15.0	6.0	7.0	28.0
9486	3.0	2.0	7.0	12.0
9487	2.0	1.0	2.0	5.0
9488	2.0	3.0	3.0	8.0
9489	3.0	3.0	3.0	9.0
9491	6.0	5.0	3.0	14.0
9493	12.0	5.0	5.0	22.0
9495	10.0	12.0	12.0	34.0
9496	2.0	3.0	10.0	15.0
9497	5.0	4.0	11.0	20.0
9498	18.0	6.0	9.0	33.0
9499	6.0	5.0	4.0	15.0
9500	5.0	3.0	12.0	20.0
9501	4.0	4.0	8.0	16.0
9502	0.0	1.0	0.0	1.0
9506	3.0	4.0	7.0	14.0
9507	5.0	6.0	4.0	15.0
9508	5.0	5.0	10.0	20.0
9509	3.0	3.0	8.0	14.0
9510	5.0	5.0	11.0	21.0
9512	3.0	2.0	2.0	7.0
9513	15.0	7.0	8.0	30.0
9514	3.0	2.0	7.0	12.0
9515	3.0	4.0	4.0	11.0
9516	11.0	6.0	6.0	23.0
9517	2.0	2.0	7.0	11.0
9518	7.0	4.0	12.0	23.0
9519	3.0	4.0	5.0	12.0
9520	4.0	4.0	5.0	13.0
9521	6.0	1.0	7.0	14.0
9522	9.0	2.0	5.0	16.0
9524	3.0	4.0	4.0	11.0
9525	14.0	6.0	36.0	56.0
9526	2.0	1.0	3.0	6.0
9527	8.0	1.0	5.0	14.0
9528	10.0	2.0	4.0	16.0
9529	8.0	5.0	12.0	25.0
9530	5.0	5.0	15.0	25.0
9531	10.0	7.0	22.0	39.0
9532	6.0	8.0	8.0	22.0
9533	5.0	6.0	2.0	13.0
9534	1.0	2.0	1.0	4.0
9535	3.0	5.0	4.0	12.0
9536	4.0	6.0	10.0	20.0
9537	1.0	0.0	1.0	2.0
9538	6.0	2.0	3.0	11.0
9540	1.0	4.0	1.0	6.0
9541	5.0	5.0	5.0	15.0
9542	3.0	2.0	4.0	9.0
9543	1.0	0.0	2.0	3.0
9545	8.0	5.0	7.0	20.0
9546	4.0	4.0	5.0	13.0
9547	2.0	2.0	5.0	9.0
9550	9.0	4.0	4.0	17.0
9551	5.0	1.0	3.0	9.0
9552	1.0	2.0	0.0	3.0
9553	3.0	1.0	1.0	5.0
9554	9.0	2.0	6.0	17.0
9555	13.0	15.0	19.0	47.0
9556	3.0	1.0	2.0	6.0
9557	5.0	9.0	4.0	18.0
9559	9.0	1.0	4.0	14.0
9562	3.0	8.0	4.0	15.0
9563	3.0	7.0	5.0	15.0
9564	8.0	3.0	24.0	35.0
9567	3.0	5.0	5.0	13.0
9568	7.0	4.0	7.0	18.0
9569	3.0	5.0	4.0	12.0
9570	10.0	3.0	3.0	16.0
9572	7.0	13.0	33.0	53.0
9573	2.0	3.0	18.0	23.0
9575	8.0	12.0	24.0	44.0
9576	7.0	1.0	4.0	12.0
9577	7.0	4.0	18.0	29.0
9578	9.0	7.0	8.0	24.0
9580	4.0	10.0	11.0	25.0
9581	5.0	2.0	4.0	11.0
9582	4.0	5.0	8.0	17.0
9583	6.0	7.0	4.0	17.0
9584	5.0	4.0	4.0	13.0
9585	16.0	8.0	14.0	38.0
9586	3.0	6.0	2.0	11.0
9587	6.0	1.0	2.0	9.0
9588	10.0	9.0	5.0	24.0
9589	6.0	2.0	5.0	13.0
9590	8.0	4.0	18.0	30.0
9592	3.0	2.0	4.0	9.0
9595	5.0	1.0	1.0	7.0
9597	0.0	0.0	1.0	1.0
9600	10.0	8.0	7.0	25.0
9601	5.0	4.0	4.0	13.0
9603	3.0	5.0	4.0	12.0
9604	5.0	7.0	10.0	22.0
9605	2.0	5.0	2.0	9.0
9607	3.0	3.0	20.0	26.0
9609	2.0	3.0	2.0	7.0
9610	5.0	4.0	2.0	11.0
9611	8.0	7.0	10.0	25.0
9612	7.0	9.0	10.0	26.0
9615	1.0	2.0	9.0	12.0
9616	5.0	7.0	5.0	17.0
9617	1.0	1.0	2.0	4.0
9618	10.0	9.0	12.0	31.0
9619	8.0	13.0	25.0	46.0
9620	3.0	2.0	17.0	22.0
9622	1.0	4.0	4.0	9.0
9623	1.0	3.0	2.0	6.0
9625	3.0	5.0	3.0	11.0
9626	1.0	3.0	2.0	6.0
9627	7.0	3.0	4.0	14.0
9628	6.0	3.0	5.0	14.0
9629	3.0	4.0	4.0	11.0
9630	3.0	6.0	4.0	13.0
9631	6.0	2.0	9.0	17.0
9632	5.0	3.0	4.0	12.0
9633	3.0	1.0	6.0	10.0
9635	8.0	5.0	4.0	17.0
9636	5.0	4.0	19.0	28.0
9637	2.0	1.0	4.0	7.0
9638	10.0	3.0	11.0	24.0
9639	2.0	3.0	7.0	12.0
9640	1.0	5.0	2.0	8.0
9641	7.0	9.0	20.0	36.0
9643	5.0	1.0	13.0	19.0
9644	4.0	8.0	4.0	16.0
9645	3.0	9.0	6.0	18.0
9646	4.0	3.0	19.0	26.0
9647	3.0	6.0	21.0	30.0
9648	5.0	3.0	9.0	17.0
9649	3.0	1.0	4.0	8.0
9650	3.0	1.0	3.0	7.0
9651	3.0	2.0	4.0	9.0
9652	6.0	1.0	1.0	8.0
9653	2.0	1.0	5.0	8.0
9654	5.0	5.0	4.0	14.0
9655	2.0	4.0	16.0	22.0
9656	5.0	1.0	3.0	9.0
9657	11.0	3.0	3.0	17.0
9658	1.0	6.0	7.0	14.0
9659	5.0	3.0	4.0	12.0
9662	3.0	1.0	4.0	8.0
9663	3.0	2.0	5.0	10.0
9665	5.0	5.0	6.0	16.0
9666	1.0	7.0	1.0	9.0
9667	6.0	4.0	4.0	14.0
9668	1.0	3.0	1.0	5.0
9669	3.0	6.0	2.0	11.0
9670	2.0	2.0	1.0	5.0
9671	1.0	1.0	0.0	2.0
9672	7.0	2.0	1.0	10.0
9673	2.0	1.0	4.0	7.0
9674	1.0	0.0	0.0	1.0
9675	6.0	1.0	4.0	11.0
9677	2.0	8.0	4.0	14.0
9678	3.0	4.0	11.0	18.0
9679	1.0	0.0	4.0	5.0
9681	5.0	2.0	5.0	12.0
9682	5.0	9.0	11.0	25.0
9683	4.0	4.0	8.0	16.0
9684	2.0	2.0	2.0	6.0
9685	9.0	4.0	1.0	14.0
9686	1.0	2.0	6.0	9.0
9687	3.0	0.0	1.0	4.0
9688	7.0	2.0	7.0	16.0
9689	2.0	2.0	1.0	5.0
9690	1.0	2.0	4.0	7.0
9692	5.0	2.0	3.0	10.0
9693	14.0	10.0	39.0	63.0
9694	5.0	2.0	2.0	9.0
9695	4.0	4.0	9.0	17.0
9696	10.0	5.0	12.0	27.0
9697	1.0	1.0	3.0	5.0
9698	5.0	4.0	13.0	22.0
9699	5.0	4.0	15.0	24.0
9700	5.0	4.0	10.0	19.0
9701	3.0	3.0	1.0	7.0
9702	6.0	5.0	3.0	14.0
9703	4.0	1.0	0.0	5.0
9704	2.0	7.0	4.0	13.0
9705	3.0	3.0	7.0	13.0
9706	7.0	4.0	13.0	24.0
9708	1.0	1.0	3.0	5.0
9709	5.0	4.0	13.0	22.0
9710	2.0	3.0	1.0	6.0
9711	6.0	2.0	9.0	17.0
9712	4.0	2.0	7.0	13.0
9715	2.0	1.0	0.0	3.0
9716	5.0	7.0	1.0	13.0
9717	1.0	1.0	0.0	2.0
9718	4.0	3.0	5.0	12.0
9719	2.0	2.0	3.0	7.0
9720	0.0	1.0	0.0	1.0
9721	1.0	1.0	1.0	3.0
9722	14.0	2.0	16.0	32.0
9723	2.0	4.0	16.0	22.0
9724	3.0	1.0	4.0	8.0
9725	7.0	5.0	1.0	13.0
9726	1.0	4.0	2.0	7.0
9727	14.0	5.0	7.0	26.0
9728	1.0	5.0	1.0	7.0
9729	0.0	1.0	0.0	1.0
9730	5.0	6.0	10.0	21.0
9731	4.0	4.0	0.0	8.0
9732	8.0	7.0	4.0	19.0
9733	6.0	8.0	9.0	23.0
9734	6.0	12.0	18.0	36.0
9735	8.0	2.0	6.0	16.0
9736	2.0	3.0	5.0	10.0
9737	2.0	1.0	2.0	5.0
9738	5.0	1.0	7.0	13.0
9739	6.0	6.0	6.0	18.0
9741	3.0	1.0	0.0	4.0
9742	9.0	2.0	14.0	25.0
9743	11.0	3.0	2.0	16.0
9744	2.0	3.0	1.0	6.0
9745	1.0	5.0	4.0	10.0
9746	9.0	5.0	9.0	23.0
9747	1.0	2.0	3.0	6.0
9748	5.0	7.0	7.0	19.0
9749	2.0	3.0	1.0	6.0
9750	6.0	2.0	18.0	26.0
9751	6.0	2.0	3.0	11.0
9752	1.0	1.0	3.0	5.0
9753	1.0	4.0	1.0	6.0
9754	1.0	2.0	3.0	6.0
9755	2.0	2.0	3.0	7.0
9757	4.0	5.0	3.0	12.0
9758	3.0	2.0	1.0	6.0
9759	8.0	14.0	27.0	49.0
9760	1.0	2.0	16.0	19.0
9761	6.0	3.0	2.0	11.0
9762	5.0	0.0	1.0	6.0
9764	1.0	0.0	0.0	1.0
9765	4.0	4.0	5.0	13.0
9766	2.0	2.0	2.0	6.0
9767	2.0	2.0	10.0	14.0
9768	4.0	3.0	6.0	13.0
9770	8.0	2.0	17.0	27.0
9771	4.0	2.0	4.0	10.0
9772	1.0	0.0	0.0	1.0
9774	5.0	4.0	10.0	19.0
9775	14.0	11.0	17.0	42.0
9776	6.0	2.0	11.0	19.0
9777	3.0	1.0	8.0	12.0
9778	0.0	1.0	0.0	1.0
9779	6.0	5.0	7.0	18.0
9780	5.0	3.0	8.0	16.0
9781	6.0	4.0	4.0	14.0
9782	4.0	6.0	6.0	16.0
9783	3.0	3.0	6.0	12.0
9784	9.0	4.0	11.0	24.0
9785	6.0	6.0	1.0	13.0
9786	5.0	1.0	3.0	9.0
9787	5.0	2.0	8.0	15.0
9788	4.0	6.0	13.0	23.0
9789	2.0	1.0	2.0	5.0
9790	4.0	5.0	2.0	11.0
9791	2.0	3.0	1.0	6.0
9792	4.0	3.0	2.0	9.0
9793	11.0	6.0	10.0	27.0
9794	4.0	4.0	8.0	16.0
9796	1.0	1.0	1.0	3.0
9797	1.0	2.0	0.0	3.0
9798	11.0	5.0	13.0	29.0
9801	4.0	2.0	1.0	7.0
9802	6.0	10.0	4.0	20.0
9804	7.0	5.0	4.0	16.0
9805	4.0	4.0	3.0	11.0
9806	2.0	5.0	8.0	15.0
9807	5.0	10.0	5.0	20.0
9810	6.0	9.0	8.0	23.0
9811	2.0	3.0	3.0	8.0
9812	3.0	1.0	2.0	6.0
9813	0.0	1.0	0.0	1.0
9814	2.0	2.0	0.0	4.0
9815	4.0	4.0	4.0	12.0
9816	3.0	0.0	2.0	5.0
9817	9.0	5.0	10.0	24.0
9818	3.0	5.0	4.0	12.0
9819	0.0	0.0	2.0	2.0
9820	8.0	2.0	11.0	21.0
9821	8.0	3.0	20.0	31.0
9823	2.0	0.0	0.0	2.0
9824	2.0	1.0	3.0	6.0
9825	4.0	4.0	8.0	16.0
9826	4.0	4.0	8.0	16.0
9827	7.0	3.0	3.0	13.0
9828	1.0	2.0	2.0	5.0
9829	6.0	3.0	4.0	13.0
9830	3.0	4.0	6.0	13.0
9831	1.0	3.0	0.0	4.0
9832	1.0	3.0	0.0	4.0
9833	4.0	7.0	10.0	21.0
9836	1.0	2.0	3.0	6.0
9837	5.0	0.0	5.0	10.0
9839	5.0	6.0	13.0	24.0
9840	5.0	2.0	6.0	13.0
9841	1.0	4.0	2.0	7.0
9842	6.0	2.0	6.0	14.0
9843	3.0	4.0	3.0	10.0
9844	5.0	3.0	6.0	14.0
9846	3.0	4.0	6.0	13.0
9847	6.0	2.0	7.0	15.0
9848	5.0	1.0	0.0	6.0
9849	1.0	3.0	2.0	6.0
9851	4.0	3.0	4.0	11.0
9852	2.0	2.0	4.0	8.0
9853	3.0	2.0	1.0	6.0
9854	5.0	4.0	3.0	12.0
9855	3.0	2.0	9.0	14.0
9856	6.0	1.0	7.0	14.0
9857	7.0	2.0	3.0	12.0
9858	1.0	2.0	1.0	4.0
9859	6.0	1.0	0.0	7.0
9860	6.0	2.0	9.0	17.0
9861	8.0	1.0	1.0	10.0
9862	5.0	9.0	6.0	20.0
9863	15.0	6.0	16.0	37.0
9865	3.0	2.0	4.0	9.0
9866	3.0	1.0	0.0	4.0
9867	9.0	6.0	10.0	25.0
9868	6.0	5.0	12.0	23.0
9869	5.0	9.0	5.0	19.0
9870	2.0	3.0	8.0	13.0
9871	6.0	3.0	4.0	13.0
9873	6.0	3.0	7.0	16.0
9874	2.0	4.0	8.0	14.0
9875	2.0	1.0	3.0	6.0
9877	1.0	3.0	1.0	5.0
9878	4.0	2.0	1.0	7.0
9879	8.0	5.0	2.0	15.0
9880	1.0	3.0	3.0	7.0
9882	2.0	2.0	4.0	8.0
9883	5.0	3.0	4.0	12.0
9884	1.0	0.0	0.0	1.0
9885	5.0	6.0	7.0	18.0
9886	1.0	3.0	4.0	8.0
9887	4.0	4.0	3.0	11.0
9889	5.0	9.0	1.0	15.0
9890	3.0	2.0	7.0	12.0
9891	6.0	6.0	11.0	23.0
9892	4.0	6.0	5.0	15.0
9894	11.0	6.0	7.0	24.0
9895	1.0	1.0	2.0	4.0
9896	8.0	7.0	10.0	25.0
9897	7.0	1.0	13.0	21.0
9898	5.0	2.0	3.0	10.0
9899	5.0	2.0	5.0	12.0
9900	11.0	2.0	4.0	17.0
9901	2.0	2.0	3.0	7.0
9902	2.0	4.0	3.0	9.0
9903	3.0	3.0	5.0	11.0
9904	6.0	1.0	2.0	9.0
9905	2.0	2.0	3.0	7.0
9906	2.0	2.0	1.0	5.0
9907	7.0	1.0	4.0	12.0
9908	4.0	4.0	6.0	14.0
9909	4.0	1.0	1.0	6.0
9910	3.0	2.0	3.0	8.0
9911	3.0	1.0	1.0	5.0
9912	9.0	4.0	13.0	26.0
9913	3.0	3.0	7.0	13.0
9914	8.0	6.0	7.0	21.0
9915	6.0	8.0	8.0	22.0
9917	3.0	5.0	1.0	9.0
9918	10.0	2.0	6.0	18.0
9919	7.0	1.0	12.0	20.0
9921	4.0	4.0	6.0	14.0
9922	5.0	3.0	5.0	13.0
9923	1.0	5.0	3.0	9.0
9924	4.0	5.0	4.0	13.0
9925	2.0	5.0	2.0	9.0
9926	4.0	7.0	6.0	17.0
9927	4.0	4.0	15.0	23.0
9928	9.0	9.0	29.0	47.0
9929	3.0	2.0	1.0	6.0
9931	4.0	6.0	1.0	11.0
9933	4.0	4.0	2.0	10.0
9934	2.0	2.0	2.0	6.0
9935	3.0	7.0	23.0	33.0
9936	5.0	3.0	1.0	9.0
9937	2.0	4.0	4.0	10.0
9938	1.0	1.0	5.0	7.0
9939	11.0	3.0	8.0	22.0
9940	3.0	5.0	4.0	12.0
9941	4.0	6.0	3.0	13.0
9942	1.0	2.0	8.0	11.0
9943	3.0	7.0	14.0	24.0
9945	1.0	3.0	7.0	11.0
9946	1.0	2.0	1.0	4.0
9947	1.0	1.0	1.0	3.0
9948	9.0	1.0	17.0	27.0
9949	3.0	1.0	1.0	5.0
9950	6.0	2.0	3.0	11.0
9951	1.0	1.0	2.0	4.0
9953	2.0	2.0	5.0	9.0
9955	2.0	3.0	3.0	8.0
9956	2.0	3.0	2.0	7.0
9957	1.0	2.0	2.0	5.0
9958	6.0	10.0	11.0	27.0
9960	6.0	3.0	6.0	15.0
9961	12.0	4.0	6.0	22.0
9962	5.0	3.0	7.0	15.0
9963	7.0	7.0	9.0	23.0
9965	3.0	3.0	19.0	25.0
9966	3.0	4.0	4.0	11.0
9967	5.0	11.0	11.0	27.0
9968	5.0	11.0	17.0	33.0
9969	4.0	5.0	7.0	16.0
9970	6.0	9.0	6.0	21.0
9971	4.0	15.0	50.0	69.0
9972	11.0	7.0	8.0	26.0
9973	3.0	5.0	5.0	13.0
9975	4.0	7.0	16.0	27.0
9976	2.0	3.0	0.0	5.0
9978	12.0	11.0	19.0	42.0
9980	6.0	2.0	5.0	13.0
9982	4.0	4.0	9.0	17.0
9984	9.0	3.0	13.0	25.0
9985	6.0	2.0	13.0	21.0
9986	4.0	4.0	3.0	11.0
9987	2.0	5.0	1.0	8.0
9988	3.0	5.0	4.0	12.0
9989	1.0	3.0	3.0	7.0
9990	5.0	3.0	12.0	20.0
9991	1.0	2.0	7.0	10.0
9992	7.0	7.0	21.0	35.0
9993	1.0	1.0	3.0	5.0
9994	5.0	6.0	8.0	19.0
9997	4.0	4.0	7.0	15.0
10000	3.0	5.0	16.0	24.0
10001	5.0	4.0	6.0	15.0
10002	3.0	7.0	14.0	24.0
10003	2.0	7.0	1.0	10.0
10004	2.0	7.0	2.0	11.0
10005	2.0	13.0	8.0	23.0
10006	11.0	6.0	8.0	25.0
10007	3.0	4.0	7.0	14.0
10008	8.0	5.0	12.0	25.0
10009	6.0	6.0	6.0	18.0
10010	4.0	6.0	12.0	22.0
10011	9.0	4.0	7.0	20.0
10013	19.0	22.0	59.0	100.0
10014	7.0	12.0	18.0	37.0
10015	13.0	4.0	17.0	34.0
10016	12.0	10.0	19.0	41.0
10017	8.0	5.0	8.0	21.0
10018	5.0	4.0	42.0	51.0
10019	2.0	5.0	20.0	27.0
10020	2.0	6.0	5.0	13.0
10021	5.0	6.0	21.0	32.0
10022	2.0	3.0	3.0	8.0
10023	4.0	2.0	4.0	10.0
10024	1.0	1.0	1.0	3.0
10025	5.0	4.0	6.0	15.0
10026	3.0	4.0	2.0	9.0
10036	4.0	5.0	5.0	14.0
10038	4.0	13.0	12.0	29.0
10039	6.0	9.0	10.0	25.0
10040	8.0	7.0	6.0	21.0
10042	1.0	3.0	3.0	7.0
10043	11.0	7.0	8.0	26.0
10044	3.0	3.0	3.0	9.0
10045	0.0	3.0	3.0	6.0
10046	4.0	1.0	2.0	7.0
10047	3.0	1.0	1.0	5.0
10048	8.0	3.0	5.0	16.0
10049	7.0	8.0	14.0	29.0
10050	3.0	2.0	4.0	9.0
10051	7.0	5.0	9.0	21.0
10052	6.0	5.0	13.0	24.0
10053	8.0	2.0	4.0	14.0
