Entrez	n_GO_CC	n_GO_MF	n_GO_BP	n_GO
1846	3.0	8.0	5.0	16.0
1847	3.0	8.0	8.0	19.0
1848	3.0	7.0	13.0	23.0
1849	3.0	7.0	5.0	15.0
1850	2.0	5.0	3.0	10.0
1852	3.0	7.0	5.0	15.0
1854	5.0	8.0	8.0	21.0
1855	16.0	7.0	41.0	64.0
1856	10.0	8.0	22.0	40.0
1857	2.0	6.0	14.0	22.0
1859	8.0	15.0	18.0	41.0
1861	14.0	9.0	18.0	41.0
1869	9.0	13.0	31.0	53.0
1870	4.0	11.0	9.0	24.0
1871	4.0	11.0	8.0	23.0
1874	4.0	11.0	11.0	26.0
1875	6.0	6.0	3.0	15.0
1876	5.0	6.0	3.0	14.0
1877	4.0	10.0	10.0	24.0
1879	2.0	5.0	1.0	8.0
1880	1.0	2.0	15.0	18.0
1889	10.0	6.0	19.0	35.0
1890	1.0	6.0	11.0	18.0
1891	6.0	2.0	1.0	9.0
1892	2.0	5.0	2.0	9.0
1893	6.0	4.0	17.0	27.0
1894	13.0	5.0	23.0	41.0
1896	9.0	5.0	16.0	30.0
1901	6.0	5.0	29.0	40.0
1902	11.0	6.0	27.0	44.0
1903	1.0	5.0	10.0	16.0
1906	7.0	5.0	123.0	135.0
1907	2.0	2.0	29.0	33.0
1908	2.0	3.0	31.0	36.0
1909	1.0	3.0	74.0	78.0
1910	3.0	4.0	55.0	62.0
1911	4.0	3.0	1.0	8.0
1912	5.0	4.0	1.0	10.0
1915	15.0	8.0	6.0	29.0
1917	4.0	6.0	5.0	15.0
1933	4.0	3.0	1.0	8.0
1936	7.0	6.0	3.0	16.0
1937	6.0	3.0	2.0	11.0
1938	13.0	8.0	3.0	24.0
1939	3.0	3.0	4.0	10.0
1942	2.0	3.0	28.0	33.0
1943	3.0	2.0	6.0	11.0
1944	1.0	3.0	6.0	10.0
1945	2.0	3.0	3.0	8.0
1946	6.0	7.0	21.0	34.0
1947	7.0	3.0	10.0	20.0
1948	8.0	3.0	26.0	37.0
1949	5.0	4.0	12.0	21.0
1950	7.0	7.0	38.0	52.0
1951	2.0	3.0	4.0	9.0
1952	3.0	2.0	15.0	20.0
1953	2.0	2.0	1.0	5.0
1954	3.0	2.0	17.0	22.0
1955	4.0	1.0	2.0	7.0
1956	25.0	22.0	65.0	112.0
1958	4.0	15.0	35.0	54.0
1959	5.0	14.0	28.0	47.0
1960	3.0	6.0	14.0	23.0
1961	2.0	8.0	3.0	13.0
1962	3.0	9.0	2.0	14.0
1964	4.0	4.0	1.0	9.0
1965	13.0	4.0	16.0	33.0
1967	5.0	4.0	6.0	15.0
1968	4.0	7.0	2.0	13.0
1969	9.0	8.0	47.0	64.0
1973	5.0	11.0	2.0	18.0
1974	3.0	7.0	5.0	15.0
1975	2.0	3.0	2.0	7.0
1977	14.0	8.0	11.0	33.0
1978	2.0	3.0	4.0	9.0
1979	3.0	3.0	8.0	14.0
1981	8.0	10.0	28.0	46.0
1982	4.0	6.0	7.0	17.0
1983	4.0	7.0	3.0	14.0
1984	7.0	5.0	7.0	19.0
1990	1.0	2.0	15.0	18.0
1991	12.0	8.0	25.0	45.0
1992	9.0	3.0	3.0	15.0
1993	1.0	3.0	1.0	5.0
1994	13.0	10.0	8.0	31.0
1995	1.0	1.0	2.0	4.0
1996	12.0	5.0	16.0	33.0
1997	3.0	6.0	6.0	15.0
1998	5.0	3.0	3.0	11.0
1999	5.0	6.0	8.0	19.0
2000	5.0	5.0	10.0	20.0
2001	2.0	3.0	2.0	7.0
2002	7.0	10.0	12.0	29.0
2004	4.0	8.0	8.0	20.0
2005	4.0	8.0	5.0	17.0
2006	4.0	4.0	10.0	18.0
2009	8.0	4.0	5.0	17.0
2010	13.0	4.0	9.0	26.0
2011	9.0	11.0	20.0	40.0
2012	2.0	1.0	3.0	6.0
2013	13.0	4.0	30.0	47.0
2014	1.0	1.0	2.0	4.0
2015	2.0	2.0	5.0	9.0
2016	5.0	4.0	15.0	24.0
2017	19.0	3.0	16.0	38.0
2018	2.0	4.0	12.0	18.0
2019	3.0	4.0	23.0	30.0
2020	6.0	3.0	9.0	18.0
2021	5.0	7.0	21.0	33.0
2022	7.0	12.0	41.0	60.0
2023	12.0	11.0	11.0	34.0
2026	13.0	6.0	7.0	26.0
2027	6.0	2.0	3.0	11.0
2028	9.0	4.0	10.0	23.0
2029	2.0	8.0	6.0	16.0
2030	6.0	4.0	17.0	27.0
2033	8.0	37.0	60.0	105.0
2034	5.0	9.0	22.0	36.0
2035	12.0	7.0	9.0	28.0
2036	3.0	3.0	2.0	8.0
2037	9.0	5.0	5.0	19.0
2038	3.0	4.0	8.0	15.0
2039	12.0	6.0	30.0	48.0
2040	15.0	4.0	4.0	23.0
2041	2.0	6.0	17.0	25.0
2042	8.0	5.0	17.0	30.0
2043	21.0	14.0	45.0	80.0
2044	7.0	5.0	10.0	22.0
2045	8.0	9.0	21.0	38.0
2046	4.0	4.0	13.0	21.0
2047	11.0	5.0	27.0	43.0
2048	15.0	9.0	59.0	83.0
2049	4.0	5.0	21.0	30.0
2050	5.0	4.0	8.0	17.0
2051	4.0	5.0	3.0	12.0
2052	1.0	3.0	6.0	10.0
2053	4.0	8.0	8.0	20.0
2054	10.0	5.0	10.0	25.0
2055	7.0	2.0	27.0	36.0
2056	4.0	5.0	38.0	47.0
2057	4.0	3.0	8.0	15.0
2058	7.0	9.0	8.0	24.0
2059	12.0	3.0	17.0	32.0
2060	9.0	5.0	9.0	23.0
2063	3.0	9.0	7.0	19.0
2064	17.0	10.0	43.0	70.0
2065	8.0	11.0	30.0	49.0
2066	16.0	10.0	40.0	66.0
2067	6.0	8.0	31.0	45.0
2068	10.0	9.0	27.0	46.0
2069	4.0	5.0	36.0	45.0
2070	2.0	3.0	9.0	14.0
2071	7.0	7.0	18.0	32.0
2072	6.0	10.0	16.0	32.0
2073	4.0	12.0	8.0	24.0
2074	6.0	8.0	34.0	48.0
2077	4.0	4.0	3.0	11.0
2078	5.0	7.0	5.0	17.0
2079	3.0	3.0	3.0	9.0
2081	9.0	14.0	23.0	46.0
2086	0.0	1.0	1.0	2.0
2091	10.0	6.0	6.0	22.0
2098	4.0	6.0	2.0	12.0
2099	11.0	25.0	41.0	77.0
2100	5.0	12.0	11.0	28.0
2101	7.0	10.0	11.0	28.0
2103	6.0	14.0	15.0	35.0
2104	3.0	10.0	6.0	19.0
2107	3.0	7.0	5.0	15.0
2108	3.0	4.0	3.0	10.0
2109	3.0	2.0	3.0	8.0
2110	3.0	9.0	4.0	16.0
2113	4.0	12.0	17.0	33.0
2114	5.0	9.0	8.0	22.0
2115	2.0	6.0	8.0	16.0
2116	1.0	4.0	13.0	18.0
2117	5.0	5.0	6.0	16.0
2118	5.0	5.0	4.0	14.0
2119	3.0	8.0	5.0	16.0
2120	5.0	8.0	8.0	21.0
2121	5.0	0.0	6.0	11.0
2122	4.0	9.0	12.0	25.0
2123	1.0	2.0	0.0	3.0
2124	1.0	0.0	6.0	7.0
2125	8.0	2.0	7.0	17.0
2128	5.0	4.0	5.0	14.0
2130	6.0	6.0	2.0	14.0
2131	6.0	10.0	83.0	99.0
2132	7.0	9.0	20.0	36.0
2134	2.0	4.0	3.0	9.0
2135	5.0	6.0	3.0	14.0
2137	5.0	5.0	4.0	14.0
2138	5.0	6.0	33.0	44.0
2139	4.0	4.0	12.0	20.0
2140	4.0	4.0	10.0	18.0
2145	5.0	6.0	8.0	19.0
2146	10.0	15.0	46.0	71.0
2147	9.0	8.0	33.0	50.0
2149	10.0	6.0	46.0	62.0
2150	4.0	9.0	55.0	68.0
2151	4.0	6.0	9.0	19.0
2152	7.0	4.0	13.0	24.0
2153	11.0	2.0	3.0	16.0
2155	8.0	5.0	24.0	37.0
2157	8.0	3.0	3.0	14.0
2158	7.0	5.0	4.0	16.0
2159	6.0	4.0	4.0	14.0
2160	5.0	4.0	3.0	12.0
2161	6.0	4.0	13.0	23.0
2162	6.0	3.0	3.0	12.0
2165	3.0	0.0	3.0	6.0
2166	3.0	6.0	4.0	13.0
2167	5.0	4.0	12.0	21.0
2168	7.0	9.0	10.0	26.0
2169	5.0	4.0	4.0	13.0
2170	4.0	4.0	10.0	18.0
2171	11.0	6.0	14.0	31.0
2172	4.0	2.0	3.0	9.0
2173	2.0	3.0	4.0	9.0
2175	5.0	1.0	12.0	18.0
2176	6.0	1.0	11.0	18.0
2177	8.0	2.0	13.0	23.0
2178	6.0	1.0	2.0	9.0
2180	7.0	6.0	15.0	28.0
2181	9.0	8.0	10.0	27.0
2182	10.0	5.0	8.0	23.0
2184	2.0	3.0	5.0	10.0
2185	21.0	10.0	93.0	124.0
2186	7.0	6.0	9.0	22.0
2187	3.0	1.0	5.0	9.0
2188	3.0	2.0	3.0	8.0
2189	7.0	2.0	8.0	17.0
2191	12.0	10.0	14.0	36.0
2192	7.0	9.0	9.0	25.0
2193	4.0	6.0	2.0	12.0
2194	8.0	17.0	12.0	37.0
2195	9.0	2.0	11.0	22.0
2196	4.0	1.0	3.0	8.0
2197	7.0	3.0	6.0	16.0
2199	4.0	5.0	1.0	10.0
2200	7.0	9.0	14.0	30.0
2201	3.0	4.0	7.0	14.0
2202	5.0	6.0	8.0	19.0
2203	4.0	7.0	22.0	33.0
2204	5.0	1.0	1.0	7.0
2205	2.0	4.0	6.0	12.0
2206	3.0	2.0	2.0	7.0
2207	7.0	6.0	17.0	30.0
2208	3.0	6.0	11.0	20.0
2209	4.0	4.0	16.0	24.0
2210	3.0	3.0	5.0	11.0
2212	3.0	3.0	2.0	8.0
2213	4.0	6.0	46.0	56.0
2214	5.0	5.0	13.0	23.0
2215	4.0	3.0	3.0	10.0
2217	3.0	3.0	2.0	8.0
2218	6.0	2.0	8.0	16.0
2219	9.0	7.0	9.0	25.0
2220	8.0	7.0	8.0	23.0
2222	3.0	4.0	3.0	10.0
2224	3.0	5.0	3.0	11.0
2230	2.0	3.0	7.0	12.0
2232	3.0	2.0	4.0	9.0
2235	3.0	7.0	11.0	21.0
2237	7.0	13.0	12.0	32.0
2239	10.0	2.0	7.0	19.0
2241	12.0	13.0	38.0	63.0
2242	7.0	7.0	21.0	35.0
2243	14.0	6.0	21.0	41.0
2244	15.0	6.0	22.0	43.0
2245	6.0	3.0	8.0	17.0
2246	8.0	7.0	31.0	46.0
2247	4.0	11.0	94.0	109.0
2248	3.0	3.0	12.0	18.0
2249	3.0	3.0	26.0	32.0
2250	3.0	2.0	12.0	17.0
2251	4.0	3.0	11.0	18.0
2252	4.0	5.0	29.0	38.0
2253	3.0	3.0	65.0	71.0
2254	3.0	3.0	47.0	53.0
2255	7.0	6.0	104.0	117.0
2256	1.0	2.0	4.0	7.0
2257	4.0	4.0	13.0	21.0
2258	13.0	6.0	19.0	38.0
2259	2.0	2.0	4.0	8.0
2260	7.0	9.0	29.0	45.0
2261	9.0	6.0	24.0	39.0
2262	8.0	1.0	3.0	12.0
2263	12.0	7.0	99.0	118.0
2264	8.0	5.0	19.0	32.0
2266	12.0	7.0	22.0	41.0
2267	4.0	2.0	6.0	12.0
2268	12.0	9.0	25.0	46.0
2271	8.0	2.0	6.0	16.0
2272	6.0	8.0	4.0	18.0
2273	5.0	4.0	9.0	18.0
2274	4.0	7.0	9.0	20.0
2275	4.0	4.0	3.0	11.0
2277	4.0	7.0	15.0	26.0
2280	9.0	9.0	23.0	41.0
2281	6.0	8.0	26.0	40.0
2286	2.0	3.0	2.0	7.0
2287	1.0	5.0	0.0	6.0
2288	10.0	12.0	12.0	34.0
2289	4.0	4.0	3.0	11.0
2290	3.0	4.0	16.0	23.0
2294	3.0	6.0	47.0	56.0
2295	6.0	9.0	14.0	29.0
2296	5.0	13.0	56.0	74.0
2297	2.0	7.0	16.0	25.0
2298	2.0	6.0	3.0	11.0
2299	4.0	8.0	6.0	18.0
2300	2.0	6.0	8.0	16.0
2301	3.0	5.0	17.0	25.0
2302	2.0	7.0	32.0	41.0
2303	4.0	12.0	40.0	56.0
2304	2.0	6.0	16.0	24.0
2305	3.0	5.0	13.0	21.0
2306	2.0	7.0	4.0	13.0
2307	2.0	5.0	9.0	16.0
2308	6.0	14.0	36.0	56.0
2309	10.0	14.0	20.0	44.0
2310	3.0	2.0	1.0	6.0
2312	6.0	4.0	3.0	13.0
2313	5.0	9.0	8.0	22.0
2314	8.0	4.0	4.0	16.0
2315	5.0	1.0	0.0	6.0
2316	20.0	14.0	41.0	75.0
2317	12.0	6.0	6.0	24.0
2318	9.0	4.0	1.0	14.0
2319	21.0	1.0	12.0	34.0
2321	6.0	6.0	25.0	37.0
2322	7.0	10.0	26.0	43.0
2323	6.0	4.0	3.0	13.0
2324	5.0	7.0	29.0	41.0
2326	2.0	7.0	10.0	19.0
2327	2.0	4.0	8.0	14.0
2328	2.0	7.0	1.0	10.0
2329	1.0	5.0	3.0	9.0
2330	3.0	7.0	4.0	14.0
2331	6.0	1.0	2.0	9.0
2332	40.0	29.0	35.0	104.0
2334	1.0	2.0	8.0	11.0
2335	13.0	10.0	28.0	51.0
2339	6.0	10.0	7.0	23.0
2342	3.0	3.0	2.0	8.0
2346	5.0	7.0	3.0	15.0
2348	16.0	4.0	16.0	36.0
2350	4.0	3.0	7.0	14.0
2352	5.0	3.0	4.0	12.0
2353	10.0	14.0	46.0	70.0
2354	4.0	6.0	13.0	23.0
2355	4.0	7.0	5.0	16.0
2356	5.0	3.0	9.0	17.0
2357	6.0	7.0	9.0	22.0
2358	6.0	7.0	21.0	34.0
2359	2.0	3.0	6.0	11.0
2395	6.0	6.0	28.0	40.0
2444	8.0	5.0	5.0	18.0
2475	17.0	14.0	85.0	116.0
2483	5.0	3.0	3.0	11.0
2487	3.0	2.0	18.0	23.0
2488	4.0	2.0	16.0	22.0
2491	5.0	1.0	3.0	9.0
2492	3.0	3.0	12.0	18.0
2494	5.0	14.0	17.0	36.0
2495	9.0	7.0	6.0	22.0
2512	8.0	5.0	3.0	16.0
2515	3.0	3.0	8.0	14.0
2516	5.0	13.0	21.0	39.0
2517	7.0	2.0	4.0	13.0
2519	6.0	2.0	4.0	12.0
2520	2.0	2.0	3.0	7.0
2521	4.0	10.0	10.0	24.0
2523	5.0	3.0	13.0	21.0
2524	4.0	4.0	8.0	16.0
2525	4.0	5.0	11.0	20.0
2526	7.0	3.0	11.0	21.0
2527	3.0	4.0	9.0	16.0
2528	6.0	3.0	9.0	18.0
2529	5.0	4.0	24.0	33.0
2530	5.0	4.0	16.0	25.0
2531	4.0	2.0	2.0	8.0
2532	3.0	4.0	5.0	12.0
2533	6.0	4.0	5.0	15.0
2534	16.0	19.0	58.0	93.0
2535	4.0	5.0	17.0	26.0
2537	4.0	1.0	14.0	19.0
2538	2.0	4.0	12.0	18.0
2539	8.0	6.0	23.0	37.0
2542	3.0	3.0	5.0	11.0
2543	1.0	1.0	1.0	3.0
2547	16.0	17.0	15.0	48.0
2548	11.0	4.0	17.0	32.0
2549	3.0	2.0	10.0	15.0
2550	17.0	6.0	17.0	40.0
2551	3.0	8.0	8.0	19.0
2553	3.0	2.0	2.0	7.0
2554	11.0	6.0	7.0	24.0
2555	13.0	7.0	10.0	30.0
2556	10.0	7.0	7.0	24.0
2557	9.0	5.0	6.0	20.0
2558	13.0	8.0	15.0	36.0
2559	9.0	5.0	6.0	20.0
2560	12.0	8.0	15.0	35.0
2561	12.0	8.0	17.0	37.0
2562	7.0	4.0	11.0	22.0
2563	10.0	5.0	7.0	22.0
2564	7.0	4.0	7.0	18.0
2565	8.0	6.0	6.0	20.0
2566	13.0	8.0	10.0	31.0
2567	11.0	5.0	7.0	23.0
2568	5.0	4.0	6.0	15.0
2569	9.0	8.0	9.0	26.0
2570	7.0	5.0	9.0	21.0
2571	9.0	4.0	8.0	21.0
2572	11.0	5.0	5.0	21.0
2574	1.0	2.0	1.0	4.0
2576	1.0	1.0	1.0	3.0
2577	0.0	1.0	0.0	1.0
2579	1.0	1.0	1.0	3.0
2580	9.0	7.0	14.0	30.0
2581	2.0	1.0	3.0	6.0
2582	1.0	4.0	2.0	7.0
2583	3.0	1.0	11.0	15.0
2584	4.0	4.0	6.0	14.0
2585	1.0	3.0	3.0	7.0
2587	2.0	5.0	6.0	13.0
2588	4.0	5.0	0.0	9.0
2589	8.0	3.0	5.0	16.0
2590	8.0	4.0	5.0	17.0
2591	6.0	4.0	7.0	17.0
2592	3.0	3.0	5.0	11.0
2593	3.0	3.0	7.0	13.0
2595	0.0	3.0	2.0	5.0
2596	9.0	5.0	11.0	25.0
2597	14.0	9.0	17.0	40.0
2615	5.0	2.0	7.0	14.0
2617	7.0	7.0	3.0	17.0
2618	2.0	5.0	14.0	21.0
2619	2.0	1.0	9.0	12.0
