Entrez	Gene Symbol	Ensembl ID	P-value
23394	ADNP	ENSG00000101126	0.0
57680	CHD8	ENSG00000100888	0.0
85358	SHANK3	ENSG00000251322	0.0
6326	SCN2A	ENSG00000136531	0.0
8831	SYNGAP1	ENSG00000227460	0.0
5728	PTEN	ENSG00000284792	0.0
27086	FOXP1	ENSG00000114861	7.39e-20
1106	CHD2	ENSG00000173575	1.75e-19
23126	POGZ	ENSG00000143442	2.76e-19
2904	GRIN2B	ENSG00000273079	1.89e-18
51111	KMT5B	ENSG00000110066	2.22e-17
9378	NRXN1	ENSG00000179915	7.24e-17
57492	ARID1B	ENSG00000049618	2.38e-15
10765	KDM5B	ENSG00000117139	7.57e-15
55870	ASH1L	ENSG00000116539	1.32e-14
6529	SLC6A1	ENSG00000157103	2.17e-14
80816	ASXL3	ENSG00000141431	9.56e-14
1859	DYRK1A	ENSG00000157540	2.92e-13
64599	GIGYF1	ENSG00000146830	2.07e-12
1778	DYNC1H1	ENSG00000197102	3.93e-12
4763	NF1	ENSG00000196712	1.07e-11
3996	LLGL1	ENSG00000284137	2.39e-11
55777	MBD5	ENSG00000204406	4.41e-11
6812	STXBP1	ENSG00000136854	1.18e-10
9969	MED13	ENSG00000108510	2.1e-10
5991	RFX3	ENSG00000080298	4.47e-10
10522	DEAF1	ENSG00000282712	7.53e-10
23314	SATB2	ENSG00000119042	1.12e-09
55209	SETD5	ENSG00000168137	1.98e-09
6096	RORB	ENSG00000198963	3.17e-09
1175	AP2S1	ENSG00000042753	4.39e-09
23389	MED13L	ENSG00000123066	5.62e-09
79813	EHMT1	ENSG00000181090	7.44e-09
8452	CUL3	ENSG00000036257	9.87e-09
23135	KDM6B	ENSG00000132510	1.23e-08
9024	BRSK2	ENSG00000174672	1.52e-08
287	ANK2	ENSG00000145362	1.82e-08
25836	NIPBL	ENSG00000164190	2.29e-08
11011	TLK2	ENSG00000146872	2.77e-08
493	ATP2B4	ENSG00000058668	3.36e-08
58508	KMT2C	ENSG00000055609	3.95e-08
6323	SCN1A	ENSG00000144285	4.97e-08
253738	EBF3	ENSG00000108001	6.13e-08
1788	DNMT3A	ENSG00000119772	7.36e-08
6601	SMARCC2	ENSG00000139613	8.65e-08
3786	KCNQ3	ENSG00000184156	1.01e-07
6683	SPAST	ENSG00000021574	1.22e-07
51322	WAC	ENSG00000095787	1.47e-07
51317	PHF21A	ENSG00000135365	1.8e-07
1499	CTNNB1	ENSG00000168036	2.36e-07
64207	IRF2BPL	ENSG00000119669	2.92e-07
57551	TAOK1	ENSG00000160551	3.5e-07
6497	SKI	ENSG00000157933	4.27e-07
29123	ANKRD11	ENSG00000167522	5.18e-07
4297	KMT2A	ENSG00000118058	6.11e-07
28514	DLL1	ENSG00000275555	7.06e-07
80155	NAA15	ENSG00000164134	8.2e-07
3778	KCNMA1	ENSG00000156113	9.38e-07
26137	ZBTB20	ENSG00000181722	1.06e-06
3745	KCNB1	ENSG00000158445	1.2e-06
1826	DSCAM	ENSG00000171587	1.33e-06
9439	MED23	ENSG00000112282	1.48e-06
6934	TCF7L2	ENSG00000148737	1.65e-06
7716	VEZF1	ENSG00000136451	1.83e-06
2554	GABRA1	ENSG00000022355	2.01e-06
26053	AUTS2	ENSG00000158321	2.26e-06
5361	PLXNA1	ENSG00000114554	2.54e-06
10664	CTCF	ENSG00000102974	2.81e-06
57524	CASKIN1	ENSG00000167971	3.12e-06
6942	TCF20	ENSG00000283681	3.43e-06
4212	MEIS2	ENSG00000134138	3.76e-06
5290	PIK3CA	ENSG00000121879	4.15e-06
1107	CHD3	ENSG00000170004	4.6e-06
1387	CREBBP	ENSG00000005339	5.09e-06
1459	CSNK2A2	ENSG00000070770	5.6e-06
22941	SHANK2	ENSG00000162105	6.18e-06
55690	PACS1	ENSG00000175115	6.77e-06
5079	PAX5	ENSG00000196092	7.37e-06
92	ACVR2A	ENSG00000121989	8.05e-06
3710	ITPR3	ENSG00000096433	9.53e-06
23040	MYT1L	ENSG00000186487	1.03e-05
