Entrez	Gene Symbol	Ensembl ID	P-value
51366	UBR5	ENSG00000104517	1.12e-05
4208	MEF2C	ENSG00000081189	1.2e-05
9369	NRXN3	ENSG00000021645	1.31e-05
7248	TSC1	ENSG00000165699	1.41e-05
221092	HNRNPUL2	ENSG00000214753	1.52e-05
23095	KIF1B	ENSG00000054523	1.63e-05
79718	TBL1XR1	ENSG00000177565	1.75e-05
8621	CDK13	ENSG00000065883	1.87e-05
5554	PRH1	ENSG00000277823	2e-05
10669	CGREF1	ENSG00000138028	2.12e-05
23125	CAMTA2	ENSG00000108509	2.26e-05
22877	MLXIP	ENSG00000281178	2.41e-05
6734	SRPRA	ENSG00000182934	2.57e-05
6595	SMARCA2	ENSG00000080503	2.74e-05
23036	ZNF292	ENSG00000188994	2.93e-05
65123	INTS3	ENSG00000262826	3.14e-05
10492	SYNCRIP	ENSG00000135316	3.36e-05
5087	PBX1	ENSG00000185630	3.58e-05
9568	GABBR2	ENSG00000136928	3.81e-05
5253	PHF2	ENSG00000197724	4.06e-05
2011	MARK2	ENSG00000072518	4.3e-05
6857	SYT1	ENSG00000067715	4.56e-05
56172	ANKH	ENSG00000154122	4.83e-05
1496	CTNNA2	ENSG00000066032	5.1e-05
10787	NCKAP1	ENSG00000061676	5.38e-05
197131	UBR1	ENSG00000159459	5.66e-05
7091	TLE4	ENSG00000106829	5.94e-05
9320	TRIP12	ENSG00000153827	6.22e-05
322	APBB1	ENSG00000166313	6.51e-05
4076	CAPRIN1	ENSG00000135387	6.81e-05
51780	KDM3B	ENSG00000120733	7.1e-05
80204	FBXO11	ENSG00000138081	7.41e-05
29035	HAPSTR1	ENSG00000182831	7.71e-05
1808	DPYSL2	ENSG00000092964	8.03e-05
90134	KCNH7	ENSG00000184611	8.36e-05
6550	SLC9A3	ENSG00000281861	8.7e-05
1454	CSNK1E	ENSG00000213923	9.03e-05
10716	TBR1	ENSG00000136535	9.37e-05
