GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34662886_EFO_0005091_GCST90025950_EFO_0005091	Skin	0	0	0	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Small Intestine	0	0	0	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Smooth Muscle	0	0	0	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Spleen	1.04258033624292	2	17.6805620608899	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Stomach	0	0	0	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Testis	0	0	0	10	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Thyroid Gland	0	0	0	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Tonsil	0.248174317601454	1	15.3198051948052	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Urinary Bladder	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Adipose Tissue	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Adrenal Gland	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Appendix	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Bone Marrow	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Breast	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Cerebral Cortex	0	1	1.28832764505119	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Cervix, uterine	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Colon	0	0	0	13	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Duodenum	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Endometrium	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Esophagus	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Fallopian Tube	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Gallbladder	0	1	13.1069444444444	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Heart Muscle	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Kidney	0	0	0	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Liver	1.38231168350919	3	13.4175355450237	10	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Lung	0	0	0	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Lymph Node	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Ovary	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Pancreas	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Placenta	0	0	0	8	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Prostate	0	0	0	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Rectum	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Salivary Gland	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Seminal Vesicle	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Skeletal Muscle	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Skin	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Small Intestine	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Smooth Muscle	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Spleen	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Stomach	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Testis	0	1	0.885687470671046	10	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Thyroid Gland	0	1	7.28725868725869	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Tonsil	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Urinary Bladder	0	0	0	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Adipose Tissue	3.79086249882302	4	33.4942324755989	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Adrenal Gland	0.0842985729055143	1	5.32862789384528	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Appendix	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Bone Marrow	0	0	0	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Breast	0	0	0	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Cerebral Cortex	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Cervix, uterine	0	0	0	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Colon	0	0	0	13	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Duodenum	0.0842985729055143	1	4.23944294699012	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Endometrium	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Esophagus	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Fallopian Tube	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Gallbladder	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Heart Muscle	0.0842985729055143	1	6.64109781843772	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Kidney	0	0	0	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Liver	3.79086249882302	5	15.9732566012187	10	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Lung	0	0	0	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Lymph Node	0.0842985729055143	1	5.34977324263039	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Ovary	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Pancreas	0	0	0	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Placenta	1.60214298963153	3	11.2345238095238	8	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Prostate	0	0	0	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Rectum	0	0	0	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Salivary Gland	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Seminal Vesicle	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Skeletal Muscle	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Skin	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Small Intestine	0	0	0	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Smooth Muscle	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Spleen	0.0842985729055143	1	4.42014051522248	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Stomach	0	0	0	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Testis	0	0	0	10	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Thyroid Gland	0.0842985729055143	1	5.20518477661335	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Tonsil	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Urinary Bladder	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Adipose Tissue	0	1	8.37355811889973	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Adrenal Gland	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Appendix	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Bone Marrow	4.30828252313171	5	23.4868093578895	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Breast	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Cerebral Cortex	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Cervix, uterine	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Colon	0	1	8.58689717925387	13	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Duodenum	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Endometrium	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Esophagus	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Fallopian Tube	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Gallbladder	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Heart Muscle	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Kidney	0	1	4.00042390843578	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Liver	0	1	3.19465132024374	10	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Lung	0	0	0	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Lymph Node	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Ovary	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Pancreas	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Placenta	0	0	0	8	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Prostate	0	0	0	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Rectum	0	1	8.02465986394558	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Salivary Gland	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Seminal Vesicle	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Skeletal Muscle	0	1	4.17381689517912	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Skin	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Small Intestine	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Smooth Muscle	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Spleen	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Stomach	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Testis	0	0	0	10	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Thyroid Gland	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Tonsil	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Urinary Bladder	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Adipose Tissue	0	0	0	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Adrenal Gland	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Appendix	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Bone Marrow	4.92881281978305	5	29.8923028191321	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Breast	0	0	0	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Cerebral Cortex	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Cervix, uterine	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Colon	0	0	0	13	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Duodenum	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Endometrium	0	0	0	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Esophagus	0.03404435097963	1	6.83592901122782	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Fallopian Tube	0	0	0	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Gallbladder	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Heart Muscle	0	0	0	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Kidney	0	0	0	9	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Liver	0.03404435097963	1	4.06591986212839	10	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Lung	0.03404435097963	1	9.42757242757243	9	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Lymph Node	0.03404435097963	1	6.80880230880231	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Ovary	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Pancreas	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Placenta	0.03404435097963	1	4.76616161616162	8	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Prostate	0	0	0	9	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Rectum	0	0	0	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Salivary Gland	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Seminal Vesicle	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Skeletal Muscle	0.03404435097963	1	5.31213059386434	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Skin	0.03404435097963	1	3.7300395256917	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Small Intestine	0	0	0	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Smooth Muscle	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Spleen	0.642969904807781	2	11.2512667660209	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Stomach	0	0	0	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Testis	0	1	0.805170427882769	10	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Thyroid Gland	0	0	0	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Tonsil	0	0	0	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Urinary Bladder	0	0	0	2	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Adipose Tissue	0	0	0	5	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Adrenal Gland	0	0	0	3	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Appendix	0.0120541429169929	1	17.5735567970205	3	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Bone Marrow	0.934843206566132	2	21.9210220673635	4	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Breast	0	0	0	4	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Cerebral Cortex	0	0	0	3	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Cervix, uterine	0	0	0	2	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Colon	0	0	0	13	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Duodenum	0	0	0	2	0
34662886_EFO_0004842_GCST90025987_EFO_0004842	Endometrium	0	0	0	5	0
