Entrez	Gene Symbol	Ensembl ID	P-value
53919	SLCO1C1	ENSG00000139155	1.09e-05
83733	SLC25A18	ENSG00000182902	1.7e-05
54437	SEMA5B	ENSG00000082684	1.99e-05
5605	MAP2K2	ENSG00000126934	3.43e-05
26523	AGO1	ENSG00000092847	3.94e-05
7248	TSC1	ENSG00000165699	4.08e-05
55181	SMG8	ENSG00000167447	4.15e-05
57719	ANO8	ENSG00000074855	4.32e-05
9970	NR1I3	ENSG00000143257	5.17e-05
54980	C2orf42	ENSG00000115998	8.73e-05
