GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34662886_EFO_0005091_GCST90025950_EFO_0005091	Skeletal Muscle	0	0	0	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Skin	0	0	0	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Small Intestine	0	0	0	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Smooth Muscle	0	0	0	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Spleen	1.35549572674237	2	24.7527868852459	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Stomach	0	0	0	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Testis	0	0	0	10	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Thyroid Gland	0	0	0	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Tonsil	0	0	0	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Urinary Bladder	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Adipose Tissue	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Adrenal Gland	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Appendix	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Bone Marrow	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Breast	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Cerebral Cortex	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Cervix, uterine	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Colon	0	0	0	13	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Duodenum	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Endometrium	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Esophagus	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Fallopian Tube	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Gallbladder	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Heart Muscle	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Kidney	0	0	0	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Liver	0	0	0	10	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Lung	0	0	0	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Lymph Node	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Ovary	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Pancreas	0	0	0	2	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Placenta	0	0	0	8	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Prostate	0	0	0	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Rectum	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Salivary Gland	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Seminal Vesicle	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Skeletal Muscle	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Skin	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Small Intestine	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Smooth Muscle	0	0	0	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Spleen	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Stomach	0	0	0	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Testis	0	0	0	10	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Thyroid Gland	0	0	0	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Tonsil	0	0	0	5	0
