trait_pair	EFO	Common Study	Rare Study	g_C	g_R	nShared	Log2SizeOE	J_RC	jaccard_zero	N_C	N_R	binary	Mean_Constraint	DiffRC_Constraint	Mean_GO	DiffRC_GO	Mean_GeneSize	DiffRC_GeneSize	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues	density_R	density_C	assortativity_RC
34375979_EFO_0000274_GCST90013680_EFO_0000274	EFO_0000274	GCST90013680	34375979	3	9	0	0.2667541367756664	0.0	1	212036.0	281104.0	1	0.019508745	1.2921611432454483	13.75	-0.45161290322580644	25774.5	-0.37935030728709396	14.785877887037039	-0.5054137108628055	52.5	-0.03773584905660377	0.0	0.0	-0.0006152348355616
34375979_EFO_0000274_GCST90018784_EFO_0000274	EFO_0000274	GCST90018784	34375979	9	9	0	0.0011907146460887	0.0	1	649402.0	281104.0	1	0.032523149999999994	-0.5073955013582631	16.5	-0.5454545454545454	29052.0	-0.41153793198402866	16.924324270370374	-0.5054137108628055	53.0	-0.03773584905660377	0.0	0.0277777777777777	-0.0001861889039723
34375979_EFO_0000274_GCST90027161_EFO_0000274	EFO_0000274	GCST90027161	34375979	9	9	0	0.1211035958025538	0.0	1	796661.0	281104.0	1	0.02078405	0.33564680608447356	12.5	-0.08	43665.5	-0.9431473359975266	10.209501029629632	0.4775807293615628	52.0	0.0	0.0	0.0277777777777777	-0.0001508864181232
34375979_EFO_0000274_GCST90297795_EFO_0000274	EFO_0000274	GCST90297795	34375979	40	9	0	0.1314552794065081	0.0	1	1094060.0	281104.0	1	0.02002197755102041	0.24027061825934865	17.714285714285715	-0.45161290322580644	45805.02040816326	-0.7526471919830796	7.766069536205593	0.6191672965122641	50.36734693877551	0.0392156862745098	0.0	0.0782051282051282	0.0056543359666283
34375979_EFO_0000275_GCST005306_EFO_0000275	EFO_0000275	GCST005306	34375979	5	9	0	0.5353431273869367	0.0	1	67944.0	281104.0	1	0.04189252285714286	-1.6635418641884678	17.642857142857142	-0.6666666666666666	128861.64285714286	-1.3035405858559705	11.597094212962961	-0.277829642973138	45.5	-0.15053763440860216	0.1944444444444444	0.1	0.0012268952620266
34375979_EFO_0000275_GCST90018576_EFO_0000275	EFO_0000275	GCST90018576	34375979	4	9	0	0.0809101570712261	0.0	1	159690.0	281104.0	1	0.016330578461538462	-1.1093688205674637	15.76923076923077	-0.5142857142857142	61419.846153846156	-0.3122422276125399	12.507204420227923	-0.4956450915163062	44.53846153846154	-0.10989010989010989	0.1944444444444444	0.1666666666666666	0.0014701235779656
34375979_EFO_0000275_GCST90018796_EFO_0000275	EFO_0000275	GCST90018796	34375979	45	9	0	0.7729357501611445	0.0	1	589441.0	281104.0	1	0.03873953833333333	-1.3137371821889008	14.666666666666666	-0.14285714285714285	108760.33333333333	-0.7369120291365547	11.046987847222226	-0.0721012694311842	49.666666666666664	-0.1702127659574468	0.1944444444444444	0.0737373737373737	0.0059063559184459
34375979_EFO_0000275_GCST90095475_EFO_0000275	EFO_0000275	GCST90095475	34375979	5	9	0	-0.1122761571743013	0.0	1	10509.0	281104.0	1	0.008968312142857144	0.08729775696007319	13.0	0.0	90751.28571428571	-0.9496261726748892	9.668123578042328	0.21821325668735528	46.92857142857143	-0.2268041237113402	0.1944444444444444	0.0	0.0012112673897957
34375979_EFO_0000275_GCST90204201_EFO_0000275	EFO_0000275	GCST90204201	34375979	86	9	0	0.8568033799284261	0.0	1	2339188.0	281104.0	1	0.05023359178947368	-1.4201145628275664	14.810526315789474	-0.14285714285714285	149922.14736842105	-0.9740212016764116	10.271960579922029	0.013566904979513999	51.14736842105263	-0.18947368421052632	0.1944444444444444	0.0448700410396716	0.0054238652801704
34375979_EFO_0000280_GCST002230_EFO_0000280	EFO_0000280	GCST002230	34375979	4	12	0	-0.6687697924312104	0.0	1	5622.0	197822.0	1	0.02726385	-1.3619309564068884	11.25	-0.7857142857142857	120656.5	-1.4276478316601864	7.420858063888888	0.3529603746530894	43.875	0.3067484662576687	0.0151515151515151	0.0	-0.0004426490574648
34375979_EFO_0000280_GCST003738_EFO_0000280	EFO_0000280	GCST003738	34375979	4	12	0	-0.4773957656602214	0.0	1	23326.0	197822.0	1	0.01313741375	0.015645838344167502	10.25	-0.5833333333333334	99664.625	-1.2626517688701513	7.9746202773148145	0.024201390562608307	46.0	0.08888888888888889	0.0151515151515151	0.0	-0.0002040605178967
34375979_EFO_0000280_GCST90000515_EFO_0000280	EFO_0000280	GCST90000515	34375979	3	12	0	-1.0361364293873174	0.0	1	56429.0	197822.0	1	0.02174026	-1.2369419473353052	11.4	-0.9206349206349206	62685.0	-0.5902623935410821	10.365432614814813	-0.8439847998399612	48.2	-0.12	0.0151515151515151	0.0	-0.0003771527072107
34375979_EFO_0000280_GCST90258657_EFO_0000280	EFO_0000280	GCST90258657	34375979	7	12	0	-0.875019643277691	0.0	1	43684.0	197822.0	1	0.02894165789473684	-1.2369419473353052	10.526315789473685	-0.4888888888888889	70960.57894736843	-0.6076995633867188	7.672855934307991	0.12576244308462775	48.10526315789474	-0.061855670103092786	0.0151515151515151	0.0	-0.0005695452207676
