Entrez	Gene Symbol	Ensembl ID	P-value
26240	FAM50B	ENSG00000145945	4.11e-07
51091	SEPSECS	ENSG00000109618	1.77e-06
168417	ZNF679	ENSG00000197123	8.66e-06
91646	TDRD12	ENSG00000173809	2.03e-05
3816	KLK1	ENSG00000167748	3.3e-05
221391	OPN5	ENSG00000124818	3.89e-05
27132	CPNE7	ENSG00000178773	4.32e-05
6575	SLC20A2	ENSG00000168575	5.69e-05
1315	COPB1	ENSG00000129083	6.05e-05
23635	SSBP2	ENSG00000145687	6.16e-05
9934	P2RY14	ENSG00000174944	7.25e-05
10765	KDM5B	ENSG00000117139	9.37e-05
